Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_trg,Phi_trg,Tau_trg_mean,Theta_x_trg_mean,D_ceil_trg_mean,My_mean,Vz_trg_mean,Vx_trg_mean,Mu,Sigma
2.1,48.75,0,0.72,2.047,45.792,0.223,4.289,0.329,-7.114,1.467,1.427,[0.691 5.634],[0.186 0.516]
2.1,52.5,0,0.67,2.045,49.362,0.223,3.78,0.348,-6.835,1.552,1.332,[0.31  7.784],[0.14  0.141]
2.1,56.25,0,0.28,2.029,53.74,0.221,3.283,0.363,-6.615,1.636,1.2,[1.044 5.229],[0.413 0.208]
2.1,60.0,0,0.17,2.027,57.596,0.224,2.791,0.385,-6.092,1.711,1.086,[0.355 8.122],[0.141 1.3  ]
2.1,63.75,0,0.22,2.018,61.428,0.225,2.381,0.4,-5.807,1.772,0.965,[0.099 5.822],[0.049 0.092]
2.1,67.5,0,0.0,,,,,,,,,[0.072 2.817],[0.045 1.269]
2.1,71.25,0,0.0,,,,,,,,,[0.136 3.668],[0.088 0.958]
2.1,75.0,0,0.0,,,,,,,,,[0.225 3.619],[0.164 2.035]
2.1,78.75,0,0.0,,,,,,,,,[0.916 4.191],[0.228 1.012]
2.1,82.5,0,0.0,,,,,,,,,[1.045 8.285],[1.057 0.22 ]
2.1,86.25,0,0.0,,,,,,,,,[1.453 6.413],[0.363 1.066]
2.1,90.0,0,0.0,,,,,,,,,[1.929 5.624],[1.391 3.238]
2.2,30.0,0,0.44,2.2,26.251,0.222,8.991,0.218,-8.118,0.973,1.973,[0.152 1.869],[0.032 1.686]
2.2,33.75,0,0.78,2.181,30.351,0.226,7.47,0.25,-7.768,1.102,1.882,[1.74  3.149],[1.159 0.697]
2.2,37.5,0,0.89,2.179,34.113,0.227,6.387,0.28,-7.587,1.222,1.804,[1.149 8.065],[0.456 0.229]
2.2,41.25,0,0.89,2.163,38.035,0.225,5.625,0.301,-7.579,1.333,1.704,[1.849 6.708],[0.994 0.867]
2.2,45.0,0,0.94,2.155,42.047,0.225,4.863,0.326,-7.282,1.443,1.6,[0.486 6.677],[0.259 0.205]
2.2,48.75,0,0.83,2.159,45.957,0.223,4.255,0.349,-7.122,1.552,1.501,[0.806 6.34 ],[0.176 0.705]
