V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
2.0,55,0,2,--,4,False,True,False,--,0.532,-92.75,2.0,55.0,2.0,55.0,0.242,0.342,2.046,0.396,0.561,--,-118.741,118.741,-18.354,-0.117,1.297,nan,nan,nan,nan,--,0.721,[0.998 0.632 1.    0.392 0.778 0.134 1.   ],[ 0.532 -0.996  0.     0.03 ],[-93.  93.],--,1,0,0,0,0,0
2.0,55,0,3,--,4,False,True,False,--,0.512,-91.7,2.0,55.0,2.0,55.0,0.247,0.348,2.014,0.405,0.57,--,-122.075,122.075,-18.49,-0.129,1.254,nan,nan,nan,nan,--,0.717,[1.    0.615 1.    0.399 0.754 0.129 1.   ],[ 0.512 -0.985  0.     0.021],[-93.  93.],--,1,0,0,0,0,0
2.0,65,0,0,--,4,False,True,False,--,0.517,-91.581,2.0,65.0,2.0,65.0,0.252,0.342,1.362,0.456,0.621,--,-125.466,125.466,-18.623,-0.44,1.383,nan,nan,nan,nan,--,0.708,[0.999 0.601 1.    0.376 0.728 0.123 1.   ],[ 0.516 -0.982  0.     0.023],[-93.  93.],--,1,0,0,0,0,0
2.0,65,0,1,--,0,False,True,False,--,0.505,-73.408,2.0,65.0,2.0,65.0,0.256,0.347,1.345,0.464,0.629,--,-135.536,135.536,-16.986,-0.318,0.854,nan,nan,nan,nan,--,0.372,[0.993 0.589 1.    0.396 0.646 0.106 0.   ],[ 0.504 -0.785  0.001  0.018],[-93.  93.],--,0,0,0,0,1,0
2.0,65,0,2,--,4,False,True,False,--,0.519,-92.515,2.0,65.0,2.0,65.0,0.25,0.341,1.367,0.454,0.618,--,-125.666,125.666,-18.607,-0.421,1.366,nan,nan,nan,nan,--,0.708,[0.999 0.606 1.    0.378 0.726 0.123 1.   ],[ 0.519 -0.994  0.     0.024],[-93.  93.],--,1,0,0,0,0,0
2.0,65,0,3,--,4,False,True,False,--,0.515,-90.572,2.0,65.0,2.0,65.0,0.252,0.343,1.359,0.457,0.622,--,-127.203,127.203,-18.707,-0.432,1.358,nan,nan,nan,nan,--,0.706,[0.999 0.6   1.    0.381 0.714 0.12  1.   ],[ 0.515 -0.973  0.     0.022],[-93.  93.],--,1,0,0,0,0,0
2.0,75,0,0,--,4,False,True,False,--,0.534,-91.658,2.0,75.0,2.0,75.0,0.256,0.341,0.786,0.494,0.658,--,-130.308,130.308,-18.855,-0.762,1.442,nan,nan,nan,nan,--,0.697,[0.999 0.59  1.    0.361 0.689 0.115 1.   ],[ 0.534 -0.983  0.     0.027],[-93.  93.],--,1,0,0,0,0,0
2.0,75,0,1,--,4,False,True,False,--,0.542,-92.474,2.0,75.0,2.0,75.0,0.253,0.338,0.792,0.489,0.653,--,-128.28,128.28,-18.816,-0.753,1.461,nan,nan,nan,nan,--,0.7,[1.    0.597 1.    0.357 0.706 0.118 1.   ],[ 0.543 -0.994  0.     0.032],[-93.  93.],--,1,0,0,0,0,0
2.0,75,0,2,--,4,False,True,False,--,0.537,-91.859,2.0,75.0,2.0,75.0,0.255,0.34,0.789,0.492,0.656,--,-128.309,128.309,-18.82,-0.771,1.488,nan,nan,nan,nan,--,0.7,[1.    0.593 1.    0.357 0.705 0.118 1.   ],[ 0.537 -0.988  0.     0.029],[-93.  93.],--,1,0,0,0,0,0
2.0,75,0,3,--,4,False,True,False,--,0.541,-92.412,2.0,75.0,2.0,75.0,0.253,0.339,0.791,0.49,0.654,--,-128.852,128.852,-18.898,-0.77,1.473,nan,nan,nan,nan,--,0.699,[0.999 0.596 1.    0.357 0.701 0.117 1.   ],[ 0.541 -0.992  0.     0.031],[-93.  93.],--,1,0,0,0,0,0
