# V_d,phi,Tau_0,trial_num
2.70,60.00,0.22,1.00
2.70,60.00,0.24,2.00
2.70,63.75,0.18,0.00
2.70,63.75,0.22,1.00
2.70,63.75,0.24,2.00
2.70,67.50,0.18,0.00
2.70,67.50,0.22,1.00
2.70,67.50,0.24,2.00
2.70,71.25,0.18,0.00
2.70,71.25,0.22,1.00
2.70,71.25,0.24,2.00
2.70,75.00,0.18,0.00
2.70,75.00,0.22,1.00
2.70,75.00,0.24,2.00
2.70,78.75,0.18,0.00
2.70,78.75,0.22,1.00
2.70,78.75,0.24,2.00
2.70,82.50,0.18,0.00
2.70,82.50,0.22,1.00
2.70,82.50,0.24,2.00
2.70,86.25,0.18,0.00
2.70,86.25,0.22,1.00
2.70,86.25,0.24,2.00
2.70,90.00,0.18,0.00
2.70,90.00,0.22,1.00
2.70,90.00,0.24,2.00
2.80,30.00,0.18,0.00
2.80,30.00,0.22,1.00
2.80,30.00,0.24,2.00
2.80,33.75,0.18,0.00
2.80,33.75,0.22,1.00
