Vel_d,Phi_d,Trial_num,LR_4Leg,LR_2Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
2,33.75,82,0.85,0,1.94,27.39,0.2292,-8.4383,0.2028,-7.8062,0.8902,1.7181,[5.269 3.954],[0.452 2.312]
2,41.25,83,0.85,0,1.91,35.33,0.2246,-6.2934,0.2467,-7.8689,1.1032,1.5561,[4.92  6.129],[0.43  1.735]
2,45,84,0.75,0,1.90,39.27,0.2274,-5.3427,0.2743,-7.8766,1.2037,1.4724,[4.809 5.043],[0.549 1.919]
2,48.75,85,0.75,0,1.89,43.56,0.2292,-4.5505,0.2988,-7.9009,1.3011,1.3681,[4.127 4.872],[1.166 0.371]
2,56.25,86,0.65,0.05,1.87,51.24,0.2332,-3.3958,0.3406,-7.9352,1.4552,1.1683,[3.971 4.826],[1.272 1.374]
2,60,87,0.35,0.3,1.89,56.20,0.2367,-2.7701,0.3736,-7.8791,1.5683,1.0499,[2.818 3.356],[2.526 1.909]
2,63.75,88,0,0.75,nan,nan,nan,nan,nan,nan,nan,nan,[3.802 5.243],[1.849 0.862]
2,67.5,89,0.15,0.55,1.86,64.76,0.2407,-1.925,0.406,-7.8697,1.6847,0.7943,[3.394 3.985],[1.762 1.13 ]
2,71.25,90,0.25,0.7,1.87,69.20,0.2394,-1.5618,0.4188,-7.957,1.7494,0.6644,[4.135 6.007],[1.135 1.69 ]
2,75,91,0.25,0.6,1.89,73.58,0.2446,-1.1804,0.443,-7.974,1.811,0.5338,[4.935 5.22 ],[0.308 1.763]
2,78.75,92,0.35,0.25,1.88,77.77,0.2446,-0.867,0.449,-7.9801,1.8354,0.398,[4.669 4.828],[0.47  0.654]
2,82.5,93,0.1,0.35,1.85,81.39,0.25,-0.5895,0.456,-7.9185,1.827,0.2765,[3.896 5.115],[1.142 0.815]
2,86.25,94,0.25,0.3,1.86,85.91,0.2504,-0.285,0.4626,-7.9388,1.8524,0.1326,[3.793 4.963],[1.283 1.749]
2,90,95,0.3,0.15,1.82,89.52,0.247,-0.0137,0.4488,-7.9667,1.8183,0.0153,[5.13  4.473],[0.347 0.562]
2.1,30,96,0.45,0,2.08,22.76,0.2373,-10.1962,0.1876,-7.6513,0.8037,1.9156,[4.055 4.132],[1.128 1.111]
2.1,33.75,97,0.65,0,2.04,27.21,0.2308,-8.4788,0.2135,-7.8038,0.9338,1.8164,[5.067 4.983],[0.518 1.419]
2.1,37.5,98,0.85,0,2.03,31.85,0.2254,-7.1569,0.2409,-7.8834,1.0722,1.7259,[5.747 5.905],[0.778 1.079]
2.1,41.25,99,0.9,0,2.01,35.46,0.2252,-6.2106,0.2632,-7.8846,1.1684,1.6406,[5.404 5.213],[0.659 0.529]
2.1,45,100,0.75,0,2.01,39.76,0.2281,-5.2213,0.294,-7.9044,1.2857,1.5452,[4.156 6.139],[0.866 1.347]
2.1,48.75,101,0.7,0,1.99,43.76,0.2304,-4.4971,0.3166,-7.9322,1.373,1.4337,[4.303 5.193],[1.129 1.52 ]
2.1,52.5,102,0.7,0,1.99,48.24,0.2322,-3.8117,0.3454,-7.9238,1.4842,1.3251,[4.268 4.619],[1.373 0.891]
2.1,56.25,103,0.75,0.05,1.96,51.97,0.2337,-3.3165,0.3619,-7.9097,1.5457,1.2091,[3.632 4.141],[1.781 1.083]
2.1,60,104,0.65,0.2,2.01,57.23,0.2364,-2.6494,0.4032,-7.9321,1.6934,1.0902,[4.166 4.403],[1.259 1.965]
2.1,63.75,105,0.45,0.3,1.98,60.60,0.2393,-2.3007,0.4149,-7.9192,1.7281,0.9738,[4.264 3.951],[1.706 1.429]
2.1,67.5,106,0.55,0.45,2.00,65.34,0.2404,-1.8627,0.4384,-7.9665,1.8188,0.8352,[4.392 5.79 ],[0.728 1.158]
2.1,75,107,0.45,0.3,1.98,73.36,0.2439,-1.1983,0.4608,-7.9749,1.8931,0.5659,[5.447 6.803],[0.729 2.069]
2.1,78.75,108,0.45,0.3,1.98,77.70,0.2461,-0.8688,0.4748,-7.9504,1.9304,0.4209,[4.435 5.02 ],[0.631 2.343]
2.1,82.5,109,0.25,0.45,1.96,81.42,0.2522,-0.5678,0.4902,-7.9142,1.9424,0.2932,[4.946 6.714],[0.694 2.154]
2.1,86.25,110,0.35,0.3,1.95,85.89,0.2493,-0.286,0.4841,-7.9083,1.9454,0.1399,[4.79  5.623],[0.319 1.032]
2.1,90,111,0.4,0.35,1.98,89.77,0.2488,-0.0066,0.493,-7.946,1.9825,0.008,[4.007 6.069],[1.165 1.106]
2.2,30,112,0.6,0,2.16,23.66,0.2358,-9.7597,0.2022,-7.7327,0.8671,1.9791,[4.956 5.278],[0.345 1.893]
2.2,33.75,113,0.8,0,2.13,28.18,0.2288,-8.1794,0.2293,-7.7312,1.0063,1.8786,[3.687 5.704],[2.462 1.667]
2.2,37.5,114,0.8,0,2.12,32.29,0.2264,-7.0076,0.2549,-7.8249,1.1324,1.7919,[4.373 2.647],[1.37  2.714]
2.2,41.25,115,0.8,0,2.11,36.18,0.2261,-6.0495,0.2806,-7.8677,1.2441,1.7014,[3.874 4.884],[1.544 1.358]
2.2,45,116,0.65,0,2.12,39.80,0.2278,-5.2156,0.3098,-7.925,1.3558,1.6275,[5.102 3.073],[0.674 2.269]
2.2,48.75,117,0.75,0,2.09,44.00,0.2314,-4.4492,0.3356,-7.8782,1.4496,1.5011,[3.614 4.783],[1.496 2.135]
2.2,52.5,118,0.65,0,2.09,47.86,0.2328,-3.8368,0.3618,-7.9336,1.5479,1.4005,[3.121 2.944],[1.962 2.457]
2.2,56.25,119,0.65,0,2.07,52.47,0.2356,-3.2111,0.3886,-7.9173,1.6432,1.2624,[4.214 3.525],[0.858 1.778]
2.2,60,120,0.55,0.2,2.07,56.34,0.2385,-2.7426,0.4121,-7.9118,1.7214,1.1465,[4.407 4.037],[1.014 1.941]
2.2,63.75,121,0.8,0.2,2.09,61.20,0.2396,-2.2461,0.4406,-7.9323,1.8342,1.0085,[4.317 5.13 ],[0.768 0.953]
2.2,67.5,122,0.45,0.5,2.09,65.40,0.2428,-1.8444,0.4618,-7.9648,1.897,0.8687,[4.379 4.89 ],[1.011 1.412]
2.2,71.25,123,0.6,0.3,2.08,69.63,0.2442,-1.4967,0.476,-7.9702,1.9493,0.7236,[4.41  4.689],[0.994 1.333]
2.2,75,124,0.45,0.35,2.08,73.60,0.2443,-1.1798,0.4864,-7.9484,1.991,0.5861,[4.965 4.901],[0.736 0.567]
2.2,78.75,125,0.35,0.45,2.01,77.49,0.2484,-0.8869,0.4869,-7.9709,1.9607,0.4351,[4.076 5.747],[1.481 1.379]
2.2,82.5,126,0.3,0.2,2.05,81.63,0.2477,-0.5742,0.5027,-7.9443,2.0303,0.2987,[4.581 5.558],[0.675 0.663]
2.2,90,127,0.5,0.25,2.05,90.08,0.2463,-0.0007,0.5043,-7.8624,2.0472,-0.003,[5.231 5.552],[0.664 0.639]
2.3,30,128,0.45,0,2.28,23.39,0.2381,-9.7396,0.2134,-7.7064,0.9033,2.0881,[5.361 5.193],[0.629 0.317]
2.3,33.75,129,0.85,0,2.24,28.36,0.2289,-8.0975,0.2426,-7.8116,1.0624,1.9681,[4.559 3.796],[1.114 1.914]
2.3,37.5,130,0.95,0,2.23,32.46,0.2264,-6.9372,0.2705,-7.8843,1.1959,1.8802,[5.081 4.764],[0.46 0.69]
2.3,41.25,131,0.85,0,2.20,36.19,0.2247,-6.0726,0.2913,-7.9102,1.2971,1.7732,[5.353 5.438],[0.426 0.525]
2.3,45,132,0.8,0,2.21,40.31,0.2311,-5.0542,0.3317,-7.8618,1.4318,1.6879,[5.048 4.25 ],[0.669 1.016]
2.3,48.75,133,0.8,0,2.19,44.28,0.2322,-4.3798,0.3555,-7.9288,1.5294,1.5686,[5.174 5.921],[0.579 1.818]
2.3,52.5,134,0.85,0,2.20,48.87,0.2348,-3.658,0.3915,-7.9251,1.6603,1.4498,[4.252 5.73 ],[0.885 0.758]
2.3,56.25,135,0.8,0,2.18,52.44,0.2368,-3.1919,0.4099,-7.9474,1.7245,1.3261,[4.727 5.409],[0.538 1.44 ]
2.3,60,136,0.85,0.1,2.18,57.05,0.2387,-2.6616,0.4388,-7.9625,1.8312,1.1869,[3.908 5.036],[1.678 1.971]
2.3,63.75,137,0.8,0.05,2.19,61.32,0.2398,-2.2303,0.4629,-7.9551,1.9227,1.0516,[5.225 4.878],[0.509 1.266]
2.3,67.5,138,0.5,0.4,2.20,65.38,0.2431,-1.829,0.4869,-7.9685,1.9971,0.9151,[4.154 5.477],[1.422 0.691]
2.3,71.25,139,0.6,0.3,2.19,69.66,0.2438,-1.4839,0.5018,-7.9808,2.0553,0.7619,[4.857 3.488],[0.813 1.655]
2.3,75,140,0.45,0.45,2.15,73.39,0.2473,-1.1812,0.509,-7.948,2.0559,0.6132,[4.32  5.187],[0.724 0.798]
2.3,78.75,141,0.5,0.3,2.15,77.69,0.2527,-0.8408,0.5326,-7.7682,2.1042,0.4593,[4.648 5.336],[0.798 1.037]
2.3,82.5,142,0.4,0.4,2.17,81.75,0.2544,-0.5506,0.5471,-7.844,2.1488,0.3114,[4.452 5.346],[0.738 1.154]
2.3,86.25,143,0.25,0.45,2.13,85.71,0.25,-0.2876,0.5308,-7.9264,2.1218,0.1592,[3.695 4.316],[1.797 0.791]
