Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.6,52.5,2,0.94,1.604,51.429,0.217,-3.609,0.273,-6.889,1.254,1.0,[2.207 6.881],[0.001 0.082]
1.6,56.25,0,0.06,1.525,52.244,0.21,-3.644,0.254,-6.034,1.206,0.934,[2.11 6.04],[0.03  0.046]
1.6,56.25,1,0.56,1.579,54.175,0.213,-3.327,0.274,-6.769,1.28,0.924,[2.176 7.464],[0.01  2.931]
1.6,56.25,2,0.78,1.593,54.814,0.215,-3.217,0.281,-7.038,1.302,0.918,[2.191 7.046],[0.018 0.034]
1.6,60.0,0,0.33,1.551,57.56,0.214,-2.932,0.281,-7.543,1.309,0.832,[2.196 7.437],[0.005 0.633]
1.6,60.0,1,0.33,1.556,57.628,0.212,-2.927,0.281,-7.129,1.314,0.833,[2.163 7.144],[0.01  0.054]
1.6,60.0,2,0.67,1.592,58.586,0.218,-2.741,0.297,-5.97,1.359,0.83,[2.217 5.943],[0.004 0.204]
1.6,63.75,0,0.78,1.587,62.418,0.218,-2.344,0.308,-5.03,1.407,0.735,[2.243 5.029],[0.029 0.017]
1.6,63.75,1,0.17,1.533,61.813,0.211,-2.531,0.285,-7.337,1.351,0.724,[2.144 7.325],[0.005 0.032]
1.6,63.75,2,0.06,1.419,61.502,0.188,-2.452,0.253,-8.34,1.247,0.677,[2.076 8.525],[0.003 0.649]
1.6,67.5,0,0.22,1.575,66.137,0.217,-1.983,0.314,-5.218,1.44,0.637,[2.208 5.192],[0.048 0.128]
1.6,67.5,1,0.39,1.552,65.681,0.213,-2.086,0.302,-7.408,1.414,0.639,[2.192 7.393],[0.005 0.106]
1.6,67.5,2,0.39,1.596,66.552,0.217,-1.957,0.318,-5.247,1.464,0.635,[2.214 5.246],[0.006 0.03 ]
1.6,71.25,0,0.33,1.541,69.766,0.219,-1.657,0.316,-4.124,1.446,0.533,[2.244 4.128],[0.019 0.038]
1.6,71.25,1,0.44,1.548,69.786,0.217,-1.668,0.316,-9.127,1.453,0.535,[2.221 9.276],[0.006 0.505]
1.6,71.25,2,0.22,1.534,69.912,0.214,-1.699,0.308,-5.717,1.441,0.527,[2.167 5.3  ],[0.014 0.613]
1.6,75.0,0,0.0,1.476,72.94,0.199,-1.543,0.28,-7.312,1.411,0.433,[2.051 7.309],[0.017 0.249]
1.6,75.0,1,0.28,1.515,73.67,0.215,-1.351,0.313,-4.476,1.454,0.426,[2.194 4.496],[0.013 0.107]
