vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
2.25,1.75,8,,5.5,7.38,0.02,0.01,6.093041666666667,-4.338541666666667,-7.377041666666667,-2.4608883104373502,0.15216666666666376,[0. 0.],[0. 0.],[5.82 6.96],[1.5 1.5]
2.25,1.75,9,,4.93,10.97,0.02,0.32,5.444041666666666,-3.87675,-10.694708333333333,-2.496641826992976,0.17800000000000202,[0. 0.],[0. 0.],[6.37 6.18],[1.5 1.5]
2.5,0.0,7,0.375,4.54,5.6,0.01,0.0,5.0685,0.0018333333333333335,-5.60025,-121.16178389032639,0.21433333333332882,[0. 0.],[0. 0.],[6.44 5.43],[1.5 1.5]
2.5,0.0,9,,6.48,7.4,0.0,0.0,7.532208333333333,-0.009333333333333334,-7.402375,-1.8161274751813234,0.11608333333334049,[0. 0.],[0. 0.],[3.7  3.08],[1.5 1.5]
2.5,0.25,7,0.52173912525177,4.61,6.81,0.11,0.01,4.921125,-0.4512083333333334,-6.807124999999999,-105.28957459264056,0.2168333333333218,[0. 0.],[0. 0.],[4.66 3.06],[1.5 1.5]
2.5,0.25,8,,4.64,4.32,0.0,0.0,5.114666666666666,-0.4805833333333333,-4.315958333333334,-1.8560518469561007,0.21758333333331828,[0. 0.],[0. 0.],[5.59 4.4 ],[1.5 1.5]
2.5,0.25,9,,5.26,8.68,0.01,0.01,5.867875000000001,-0.5496666666666666,-8.681208333333332,-2.295917510092448,0.1627499999999884,[0. 0.],[0. 0.],[2.67 6.85],[1.5 1.5]
2.5,0.5,7,0.2083333283662796,5.09,6.73,0.0,0.01,5.587500000000001,-1.0262916666666666,-6.737208333333332,-117.55869168623069,0.17791666666666592,[0. 0.],[0. 0.],[5.11 3.24],[1.5 1.5]
2.5,0.5,8,,4.5,7.99,0.0,0.03,4.962875,-0.9274999999999999,-7.997083333333333,-1.6232157809744046,0.1911666666666605,[0. 0.],[0. 0.],[4.47 3.57],[1.5 1.5]
2.5,0.5,9,,4.57,8.26,0.23,0.1,4.912875,-0.9184166666666668,-8.282791666666666,-1.2460517890395206,0.18675000000000588,[0. 0.],[0. 0.],[1.89 6.32],[1.5 1.5]
2.5,0.75,8,,14.59,7.34,0.14,0.03,22.854333333333333,-6.315749999999999,-7.338708333333333,-0.35810562124626877,0.041583333333335304,[0. 0.],[0. 0.],[6.37 5.94],[1.5 1.5]
2.5,0.75,9,,5.53,3.5,0.01,0.0,6.288666666666667,-1.7455833333333333,-3.50025,-1.5321597987952316,0.1735833333333474,[0. 0.],[0. 0.],[5.91 2.24],[1.5 1.5]
2.5,1.0,7,,4.77,10.78,0.01,0.61,5.255916666666667,-1.9443333333333335,-10.586416666666667,-3.1653092324703707,0.17641666666666586,[0. 0.],[0. 0.],[6.65 5.4 ],[1.5 1.5]
2.5,1.0,8,,4.67,9.8,0.0,0.0,5.136791666666666,-1.9010416666666667,-9.802791666666666,-3.1297300563571255,0.17825000000000912,[0. 0.],[0. 0.],[3.83 6.4 ],[1.5 1.5]
