t,thrust_input,thrust_actual
18.778,14.3,14.3
18.8,14.3,14.3
18.809,14.3,14.3
18.85,14.3,14.3
18.871,14.3,14.3
18.899,14.3,14.3
18.92,14.3,14.3
18.959,14.3,14.3
18.989,14.3,14.3
19.03,14.3,14.3
19.049,14.3,14.3
19.079,14.3,14.3
19.099,14.3,14.3
19.14,14.3,14.3
19.159,14.3,14.3
19.18,14.3,14.3
19.221,14.3,14.3
19.239,14.3,14.3
19.26,14.3,14.3
19.321,14.3,14.3
19.339,14.3,14.3
19.371,14.3,14.3
19.389,14.3,14.3
19.409,14.3,14.3
19.429,14.3,14.3
19.46,14.3,14.3
19.471,14.3,14.3
19.489,14.3,14.3
19.54,14.3,14.3
19.55,14.3,14.3
19.579,14.3,14.3
19.589,14.3,14.3
19.629,14.3,14.3
19.649,14.3,14.3
19.659,14.3,14.3
19.689,14.3,14.3
19.71,14.3,14.3
19.73,14.3,14.3
19.749,14.3,14.3
19.789,14.3,14.3
19.829,14.3,14.3
19.9,14.3,14.3
19.93,14.3,14.3
19.95,14.3,14.3
19.95,14.3,14.3
19.95,14.3,14.3
19.95,14.3,14.3
19.95,5.3,14.24
19.95,5.3,14.181
19.959,5.3,14.063
19.971,5.3,14.005
19.989,5.3,12.718
20.0,5.3,12.571
20.021,5.3,11.967
20.04,5.3,11.455
20.049,5.3,10.272
20.079,5.3,9.317
20.109,5.3,9.29
20.149,5.3,8.336
20.171,5.3,7.657
20.171,5.3,7.61
20.18,5.3,7.39
20.222,5.3,6.869
20.25,5.3,6.838
20.258,5.3,6.494
20.28,5.3,6.317
20.309,5.3,6.196
20.34,5.3,6.01
20.38,5.3,5.87
20.39,5.3,5.847
20.439,5.3,5.714
20.459,5.3,5.625
20.471,5.3,5.613
20.49,5.3,5.592
20.509,5.3,5.539
20.521,5.3,5.525
20.559,5.3,5.48
20.589,5.3,5.441
20.622,5.3,5.438
20.679,5.3,5.379
20.71,5.3,5.375
20.729,5.3,5.355
20.75,5.3,5.346
20.75,5.3,5.342
20.76,5.3,5.342
20.779,5.3,5.341
20.789,5.3,5.336
20.8,5.3,5.331
20.829,5.3,5.329
20.839,5.3,5.324
20.849,5.3,5.323
20.879,5.3,5.322
20.899,5.3,5.318
20.921,5.3,5.315
20.949,5.3,5.315
20.971,5.3,5.312
21.03,5.3,5.309
21.05,5.3,5.306
21.079,5.3,5.305
21.089,5.3,5.305
21.139,5.3,5.304
21.159,5.3,5.303
21.171,5.3,5.303
21.18,5.3,5.303
21.199,5.3,5.302
21.209,5.3,5.302
21.229,5.3,5.302
21.26,5.3,5.302
21.28,5.3,5.301
21.299,5.3,5.301
21.309,5.3,5.301
21.321,5.3,5.301
21.34,5.3,5.301
21.359,5.3,5.301
21.371,5.3,5.301
21.389,5.3,5.301
21.409,5.3,5.301
21.45,5.3,5.3
21.489,5.3,5.3
21.499,5.3,5.3
21.529,5.3,5.3
21.539,5.3,5.3
21.559,5.3,5.3
21.599,5.3,5.3
21.621,5.3,5.3
21.64,5.3,5.3
21.659,5.3,5.3
21.671,5.3,5.3
21.689,5.3,5.3
21.689,5.3,5.3
21.71,5.3,5.3
21.72,5.3,5.3
21.73,5.3,5.3
21.771,5.3,5.3
21.79,5.3,5.3
21.799,5.3,5.3
21.83,5.3,5.3
21.849,5.3,5.3
21.872,5.3,5.3
21.909,5.3,5.3
21.939,5.3,5.3
21.949,5.3,5.3
21.979,5.3,5.3
22.021,5.3,5.3
22.071,5.3,5.3
22.099,5.3,5.3
22.109,5.3,5.3
22.15,5.3,5.3
22.189,5.3,5.3
22.199,5.3,5.3
22.229,5.3,5.3
22.25,5.3,5.3
22.259,5.3,5.3
22.289,5.3,5.3
22.321,5.3,5.3
22.371,5.3,5.3
22.389,5.3,5.3
22.421,5.3,5.3
22.439,5.3,5.3
22.46,5.3,5.3
22.48,5.3,5.3
22.51,5.3,5.3
22.521,5.3,5.3
22.56,5.3,5.3
22.579,5.3,5.3
22.599,5.3,5.3
22.609,5.3,5.3
22.63,5.3,5.3
22.65,5.3,5.3
22.67,5.3,5.3
22.7,5.3,5.3
22.72,5.3,5.3
22.76,5.3,5.3
22.799,5.3,5.3
22.799,5.3,5.3
22.83,5.3,5.3
22.88,5.3,5.3
22.899,5.3,5.3
22.91,5.3,5.3
22.979,5.3,5.3
23.021,5.3,5.3
23.039,5.3,5.3
23.071,5.3,5.3
23.09,5.3,5.3
23.129,5.3,5.3
23.139,5.3,5.3
23.159,5.3,5.3
23.21,5.3,5.3
23.25,5.3,5.3
23.259,5.3,5.3
23.279,5.3,5.3
23.3,5.3,5.3
23.359,5.3,5.3
23.371,5.3,5.3
23.399,5.3,5.3
23.429,5.3,5.3
23.429,5.3,5.3
23.45,5.3,5.3
23.479,5.3,5.3
23.499,5.3,5.3
23.53,5.3,5.3
23.539,5.3,5.3
23.56,5.3,5.3
23.571,5.3,5.3
23.609,5.3,5.3
23.63,5.3,5.3
23.649,5.3,5.3
23.659,5.3,5.3
23.689,5.3,5.3
23.749,5.3,5.3
23.78,5.3,5.3
23.809,5.3,5.3
23.849,5.3,5.3
23.87,5.3,5.3
23.889,5.3,5.3
23.92,5.3,5.3
23.949,5.3,5.3
23.971,5.3,5.3
23.989,5.3,5.3
24.039,5.3,5.3
24.07,5.3,5.3
24.109,5.3,5.3
24.12,5.3,5.3
24.159,5.3,5.3
24.179,5.3,5.3
24.209,5.3,5.3
24.24,5.3,5.3
24.249,5.3,5.3
24.26,5.3,5.3
24.29,5.3,5.3
24.31,5.3,5.3
24.32,5.3,5.3
24.33,5.3,5.3
24.371,5.3,5.3
24.379,5.3,5.3
