V_mag_d,V_angle_d,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals
2.5,60,0,60,--,0,False,False,False,--,2.025,-94.176,2.504,60.017,0.0,0.0,0.212,0.311,1.853,0.675,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.407 0.858 0.568 1.   ]
2.5,60,0,61,--,0,False,False,False,--,1.048,-84.131,2.489,59.958,0.0,0.0,0.217,0.318,1.821,0.684,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.384 0.933 0.486 1.   ]
2.5,60,0,62,--,0,False,False,False,--,1.325,-89.987,2.5,59.977,0.0,0.0,0.216,0.316,1.832,0.683,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.397 0.892 0.498 1.   ]
2.5,60,0,63,--,0,False,False,False,--,0.649,-91.225,2.502,59.986,0.0,0.0,0.218,0.318,1.815,0.689,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.4   0.883 0.503 1.   ]
2.5,60,0,64,--,0,False,False,False,--,1.956,-93.227,2.5,59.953,0.0,0.0,0.212,0.312,1.856,0.675,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.404 0.865 0.549 1.   ]
2.5,60,0,65,--,0,False,False,False,--,2.01,-93.357,2.499,60.012,0.0,0.0,0.211,0.311,1.855,0.673,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.382 0.923 0.489 0.5  ]
2.5,60,0,66,--,0,False,False,False,--,1.518,-93.051,2.501,59.982,0.0,0.0,0.215,0.315,1.836,0.681,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.384 0.92  0.49  1.   ]
2.5,60,0,67,--,0,False,False,False,--,1.903,-93.803,2.501,60.015,0.0,0.0,0.212,0.312,1.849,0.676,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.385 0.914 0.492 1.   ]
2.5,60,0,68,--,0,False,False,False,--,2.112,-92.588,2.501,59.971,0.0,0.0,0.21,0.309,1.868,0.67,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.406 0.863 0.554 0.5  ]
2.5,60,0,69,--,0,False,False,False,--,1.419,-89.03,2.498,59.945,0.0,0.0,0.215,0.316,1.834,0.682,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.419 0.838 0.615 1.   ]
2.5,60,0,70,--,0,False,False,False,--,2.207,-94.362,2.504,60.031,0.0,0.0,0.208,0.308,1.872,0.668,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.923 0.383 0.918 0.491 0.5  ]
2.5,60,0,71,--,0,False,False,False,--,1.802,-93.735,2.502,59.999,0.0,0.0,0.212,0.312,1.853,0.675,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.408 0.855 0.574 1.   ]
2.5,60,0,72,--,0,False,False,False,--,1.381,-89.262,2.502,59.966,0.0,0.0,0.216,0.316,1.832,0.683,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.396 0.897 0.497 1.   ]
2.5,60,0,73,--,0,False,False,False,--,2.012,-93.652,2.499,59.943,0.0,0.0,0.211,0.311,1.86,0.673,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.383 0.921 0.49  1.   ]
2.5,60,0,74,--,0,False,False,False,--,1.794,-94.679,2.503,60.003,0.0,0.0,0.214,0.313,1.842,0.68,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.869 0.385 0.914 0.492 1.   ]
2.5,60,0,75,--,0,False,False,False,--,2.006,-92.794,2.495,60.011,0.0,0.0,0.212,0.313,1.846,0.676,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.382 0.922 0.489 1.   ]
2.5,60,0,76,--,0,False,False,False,--,0.825,-89.608,2.5,59.986,0.0,0.0,0.218,0.318,1.816,0.688,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.835 0.396 0.895 0.497 1.   ]
2.5,60,0,77,--,0,False,False,False,--,2.148,-93.544,2.5,59.986,0.0,0.0,0.21,0.31,1.865,0.67,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.385 0.916 0.491 0.5  ]
2.5,60,0,78,--,0,False,False,False,--,1.238,-86.371,2.5,59.977,0.0,0.0,0.217,0.317,1.825,0.685,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.414 0.854 0.577 1.   ]
2.5,60,0,79,--,0,False,False,False,--,1.957,-92.427,2.5,59.969,0.0,0.0,0.211,0.311,1.861,0.672,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.403 0.872 0.532 1.   ]
2.5,60,0,80,--,0,False,False,False,--,1.895,-94.199,2.502,59.991,0.0,0.0,0.213,0.313,1.846,0.678,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.878 0.386 0.912 0.492 1.   ]
2.5,60,0,81,--,0,False,False,False,--,1.794,-91.918,2.499,59.958,0.0,0.0,0.214,0.314,1.84,0.68,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.869 0.401 0.878 0.518 1.   ]
2.5,60,0,82,--,0,False,False,False,--,0.918,-86.995,2.5,59.952,0.0,0.0,0.217,0.317,1.823,0.687,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.416 0.847 0.593 1.   ]
2.5,60,0,83,--,0,False,False,False,--,1.379,-92.379,2.492,59.953,0.0,0.0,0.216,0.316,1.828,0.682,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.402 0.875 0.526 1.   ]
2.5,60,0,84,--,0,False,False,False,--,1.949,-93.158,2.499,59.943,0.0,0.0,0.21,0.31,1.866,0.671,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.905 0.382 0.923 0.489 0.5  ]
2.5,60,0,85,--,0,False,False,False,--,1.174,-87.263,2.501,59.961,0.0,0.0,0.216,0.316,1.829,0.685,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.852 0.394 0.906 0.494 1.   ]
2.5,60,0,86,--,0,False,False,False,--,2.055,-92.394,2.498,60.008,0.0,0.0,0.211,0.311,1.856,0.673,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.896 0.403 0.873 0.53  0.5  ]
