V_mag_d,V_angle_d,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,NN_Output_trg,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals
2.5,60,0,71,--,4,False,True,False,--,[ 0.657 -0.674  0.096  0.142],0.703,-81.268,2.502,59.974,2.502,59.974,0.218,0.318,1.818,0.472,--,-109.069,109.069,-16.941,0.51,1.572,378.453,214.707,0.202,311.653,--,0.744,[1.    0.835 0.4   0.904 0.495 1.   ]
2.5,60,0,72,--,4,False,True,False,--,[ 0.955 -0.865  0.087  0.08 ],0.951,-91.849,2.502,59.943,2.502,59.943,0.213,0.313,1.848,0.462,--,-113.83,113.83,-18.373,0.421,1.748,402.502,235.122,0.22,326.688,--,0.75,[1.    0.878 0.401 0.878 0.516 1.   ]
2.5,60,0,73,--,4,False,True,False,--,[ 0.959 -0.867  0.086  0.076],0.966,-93.402,2.502,59.971,2.502,59.971,0.212,0.312,1.851,0.46,--,-106.475,106.475,-18.178,0.494,1.85,403.291,235.01,0.225,327.741,--,0.747,[1.    0.887 0.384 0.917 0.491 1.   ]
2.5,60,0,74,--,4,True,True,False,--,[ 0.965 -0.873  0.086  0.07 ],0.964,-94.274,2.501,59.987,2.501,59.987,0.211,0.311,1.858,0.457,--,-107.548,107.548,-18.355,0.478,1.858,401.596,236.842,0.222,324.323,--,0.604,[1.    0.896 0.386 0.912 0.492 0.5  ]
2.5,60,0,75,--,4,False,True,False,--,[ 0.93  -0.837  0.089  0.092],0.913,-93.384,2.502,59.946,2.502,59.946,0.215,0.315,1.839,0.465,--,-105.416,105.416,-18.109,0.507,1.859,407.11,232.259,0.234,334.356,--,0.745,[1.    0.861 0.382 0.922 0.489 1.   ]
2.5,60,0,76,--,4,True,True,False,--,[ 0.97  -0.877  0.085  0.065],0.969,-93.71,2.501,59.961,2.501,59.961,0.21,0.31,1.864,0.455,--,-105.819,105.819,-18.177,0.501,1.861,399.456,236.594,0.234,321.852,--,0.605,[1.    0.905 0.383 0.92  0.49  0.5  ]
2.5,60,0,77,--,4,False,True,False,--,[ 0.96  -0.868  0.086  0.076],0.963,-93.693,2.501,59.955,2.501,59.955,0.212,0.312,1.852,0.46,--,-105.788,105.788,-18.171,0.501,1.861,403.038,233.887,0.232,328.233,--,0.747,[1.    0.887 0.383 0.92  0.49  1.   ]
2.5,60,0,78,--,4,False,True,False,--,[ 0.954 -0.864  0.087  0.081],0.961,-93.86,2.502,59.962,2.502,59.962,0.213,0.313,1.846,0.462,--,-105.927,105.927,-18.2,0.499,1.865,405.249,233.929,0.227,330.914,--,0.746,[1.    0.878 0.383 0.92  0.49  1.   ]
2.5,60,0,79,--,4,False,True,False,--,[ 0.926 -0.834  0.09   0.093],0.941,-92.206,2.501,59.943,2.501,59.943,0.215,0.315,1.839,0.465,--,-115.395,115.395,-18.502,0.403,1.738,404.87,230.991,0.225,332.51,--,0.755,[1.    0.861 0.404 0.869 0.539 1.   ]
2.5,60,0,80,--,4,False,True,False,--,[ 0.859 -0.78   0.092  0.111],0.859,-86.249,2.501,59.964,2.501,59.964,0.216,0.316,1.83,0.468,--,-106.367,106.367,-17.499,0.52,1.709,384.352,217.075,0.209,317.183,--,0.745,[1.    0.852 0.39  0.918 0.491 1.   ]
2.5,60,0,81,--,4,False,True,False,--,[ 0.87  -0.788  0.092  0.108],0.885,-88.529,2.501,59.985,2.501,59.985,0.216,0.316,1.83,0.467,--,-109.563,109.563,-17.994,0.465,1.715,389.065,216.068,0.203,323.553,--,0.745,[1.    0.852 0.394 0.902 0.495 1.   ]
2.5,60,0,82,--,4,False,True,False,--,[ 0.909 -0.818  0.09   0.099],0.884,-90.935,2.502,59.951,2.502,59.951,0.215,0.315,1.836,0.466,--,-112.607,112.607,-18.183,0.437,1.742,404.197,232.625,0.221,330.547,--,0.745,[1.    0.861 0.399 0.885 0.5   1.   ]
2.5,60,0,83,--,4,False,True,False,--,[ 0.968 -0.875  0.085  0.067],0.968,-93.7,2.501,59.937,2.501,59.937,0.211,0.311,1.862,0.457,--,-105.78,105.78,-18.17,0.502,1.861,400.963,236.863,0.231,323.523,--,0.747,[1.    0.896 0.383 0.92  0.49  1.   ]
