# vel,phi,d_ceiling,My,trial_num,attempt
3.00,90.00,0.50,-8.75,1.00,0.00
3.00,90.00,0.50,-8.75,1.00,1.00
3.00,90.00,0.50,-8.75,1.00,2.00
3.00,90.00,0.50,-9.00,1.00,0.00
3.00,90.00,0.50,-9.00,1.00,1.00
3.00,90.00,0.50,-9.00,1.00,2.00
3.00,90.00,0.50,-9.25,1.00,0.00
3.00,90.00,0.50,-9.25,1.00,1.00
3.00,90.00,0.50,-9.25,1.00,2.00
3.00,90.00,0.50,-9.50,1.00,0.00
3.00,90.00,0.50,-9.50,1.00,1.00
3.00,90.00,0.50,-9.50,1.00,2.00
3.00,90.00,0.50,-9.75,1.00,0.00
3.00,90.00,0.50,-9.75,1.00,1.00
3.00,90.00,0.50,-9.75,1.00,2.00
3.00,90.00,0.45,-3.00,1.00,0.00
3.00,90.00,0.45,-3.00,1.00,1.00
3.00,90.00,0.45,-3.00,1.00,2.00
3.00,90.00,0.45,-3.25,1.00,0.00
3.00,90.00,0.45,-3.25,1.00,1.00
3.00,90.00,0.45,-3.25,1.00,2.00
3.00,90.00,0.45,-3.50,1.00,0.00
3.00,90.00,0.45,-3.50,1.00,1.00
3.00,90.00,0.45,-3.50,1.00,2.00
3.00,90.00,0.45,-3.75,1.00,0.00
3.00,90.00,0.45,-3.75,1.00,1.00
3.00,90.00,0.45,-3.75,1.00,2.00
3.00,90.00,0.45,-4.00,1.00,0.00
3.00,90.00,0.45,-4.00,1.00,1.00
3.00,90.00,0.45,-4.00,1.00,2.00
3.00,90.00,0.45,-4.25,1.00,0.00
3.00,90.00,0.45,-4.25,1.00,1.00
3.00,90.00,0.45,-4.25,1.00,2.00
3.00,90.00,0.45,-4.50,1.00,0.00
3.00,90.00,0.45,-4.50,1.00,1.00
3.00,90.00,0.45,-4.50,1.00,2.00
3.00,90.00,0.45,-4.75,1.00,0.00
3.00,90.00,0.45,-4.75,1.00,1.00
3.00,90.00,0.45,-4.75,1.00,2.00
3.00,90.00,0.45,-5.00,1.00,0.00
3.00,90.00,0.45,-5.00,1.00,1.00
3.00,90.00,0.45,-5.00,1.00,2.00
3.00,90.00,0.45,-5.25,1.00,0.00
3.00,90.00,0.45,-5.25,1.00,1.00
3.00,90.00,0.45,-5.25,1.00,2.00
3.00,90.00,0.45,-5.50,1.00,0.00
3.00,90.00,0.45,-5.50,1.00,1.00
3.00,90.00,0.45,-5.50,1.00,2.00
3.00,90.00,0.45,-5.75,1.00,0.00
3.00,90.00,0.45,-5.75,1.00,1.00
3.00,90.00,0.45,-5.75,1.00,2.00
3.00,90.00,0.45,-6.00,1.00,0.00
3.00,90.00,0.45,-6.00,1.00,1.00
3.00,90.00,0.45,-6.00,1.00,2.00
3.00,90.00,0.45,-6.25,1.00,0.00
3.00,90.00,0.45,-6.25,1.00,1.00
3.00,90.00,0.45,-6.25,1.00,2.00
3.00,90.00,0.45,-6.50,1.00,0.00
3.00,90.00,0.45,-6.50,1.00,1.00
3.00,90.00,0.45,-6.50,1.00,2.00
3.00,90.00,0.45,-6.75,1.00,0.00
3.00,90.00,0.45,-6.75,1.00,1.00
3.00,90.00,0.45,-6.75,1.00,2.00
3.00,90.00,0.45,-7.00,1.00,0.00
