# V_d,phi,Tau_0,trial_num
3.25,75.00,0.25,2.00
3.25,70.00,0.16,0.00
3.25,70.00,0.20,1.00
3.25,70.00,0.25,2.00
3.25,65.00,0.16,0.00
3.25,65.00,0.20,1.00
3.25,65.00,0.25,2.00
3.25,60.00,0.16,0.00
3.25,60.00,0.20,1.00
3.25,60.00,0.25,2.00
3.25,55.00,0.16,0.00
3.25,55.00,0.20,1.00
3.25,55.00,0.25,2.00
3.25,50.00,0.16,0.00
3.25,50.00,0.20,1.00
3.25,50.00,0.25,2.00
3.25,45.00,0.16,0.00
3.25,45.00,0.20,1.00
3.25,45.00,0.25,2.00
3.25,40.00,0.16,0.00
3.25,40.00,0.20,1.00
3.25,40.00,0.25,2.00
3.25,35.00,0.16,0.00
3.25,35.00,0.20,1.00
3.25,35.00,0.25,2.00
3.25,30.00,0.16,0.00
3.25,30.00,0.20,1.00
3.25,30.00,0.25,2.00
3.25,25.00,0.16,0.00
3.25,25.00,0.20,1.00
3.25,25.00,0.25,2.00
3.25,20.00,0.16,0.00
3.25,20.00,0.20,1.00
3.25,20.00,0.25,2.00
3.50,90.00,0.16,0.00
3.50,90.00,0.20,1.00
3.50,90.00,0.25,2.00
3.50,85.00,0.16,0.00
3.50,85.00,0.20,1.00
3.50,85.00,0.25,2.00
3.50,80.00,0.16,0.00
3.50,80.00,0.20,1.00
3.50,80.00,0.25,2.00
3.50,75.00,0.16,0.00
3.50,75.00,0.20,1.00
3.50,75.00,0.25,2.00
3.50,70.00,0.16,0.00
3.50,70.00,0.20,1.00
3.50,70.00,0.25,2.00
3.50,65.00,0.16,0.00
3.50,65.00,0.20,1.00
3.50,65.00,0.25,2.00
3.50,60.00,0.16,0.00
3.50,60.00,0.20,1.00
3.50,60.00,0.25,2.00
3.50,55.00,0.16,0.00
3.50,55.00,0.20,1.00
3.50,55.00,0.25,2.00
3.50,50.00,0.16,0.00
3.50,50.00,0.20,1.00
3.50,50.00,0.25,2.00
3.50,45.00,0.16,0.00
3.50,45.00,0.20,1.00
3.50,45.00,0.25,2.00
3.50,40.00,0.16,0.00
3.50,40.00,0.20,1.00
3.50,40.00,0.25,2.00
3.50,35.00,0.16,0.00
3.50,35.00,0.20,1.00
3.50,35.00,0.25,2.00
3.50,30.00,0.16,0.00
3.50,30.00,0.20,1.00
3.50,30.00,0.25,2.00
3.50,25.00,0.16,0.00
3.50,25.00,0.20,1.00
3.50,25.00,0.25,2.00
3.50,20.00,0.16,0.00
3.50,20.00,0.20,1.00
3.50,20.00,0.25,2.00
