obs,actions,next_obs,dones
0.058945213;0.073278375;-0.08951925;-1.0,0.08223631;-0.19284783,0.056945212;0.075186945;-0.10683976;-1.0,False
0.056945212;0.075186945;-0.10683976;-1.0,0.19980586;0.47008848,0.054945216;0.0771976;-0.12416027;-1.0,False
0.054945216;0.0771976;-0.12416027;-1.0,-0.1413312;0.06891141,0.052945215;0.07931875;-0.14148077;-1.0,False
0.052945215;0.07931875;-0.14148077;-1.0,0.1924137;0.17454647,0.050945215;0.08155975;-0.15880129;-1.0,False
0.050945215;0.08155975;-0.15880129;-1.0,-0.07873308;0.9369826,0.04894522;0.08393106;-0.17612179;-1.0,False
0.04894522;0.08393106;-0.17612179;-1.0,0.06734257;-0.9113363,0.046945218;0.08644439;-0.1934423;-1.0,False
0.046945218;0.08644439;-0.1934423;-1.0,0.9038992;-0.9,0.046945218;0.08644439;-0.1934423;-1.0,True
0.097410716;0.04923922;0.24360192;-1.0,-0.029850509;0.5070293,0.09541071;0.050093666;0.2262814;-1.0,False
0.09541071;0.050093666;0.2262814;-1.0,-0.19778083;0.18862863,0.093410715;0.050978288;0.2089609;-1.0,False
0.093410715;0.050978288;0.2089609;-1.0,-0.027053041;-0.73881465,0.09141072;0.051894717;0.19164039;-1.0,False
0.09141072;0.051894717;0.19164039;-1.0,0.16986474;0.71539557,0.089410715;0.0528447;0.17431988;-1.0,False
0.089410715;0.0528447;0.17431988;-1.0,0.026764756;-0.49416563,0.08741072;0.05383011;0.15699938;-1.0,False
0.08741072;0.05383011;0.15699938;-1.0,0.16303985;-0.41143847,0.08541072;0.05485297;0.13967887;-1.0,False
0.08541072;0.05485297;0.13967887;-1.0,-0.13395807;0.9379051,0.08341072;0.055915456;0.12235836;-1.0,False
0.08341072;0.055915456;0.12235836;-1.0,-0.10407336;0.57396644,0.08141072;0.05701991;0.10503785;-1.0,False
0.08141072;0.05701991;0.10503785;-1.0,0.1624446;-0.4384989,0.079410724;0.05816888;0.08771735;-1.0,False
0.079410724;0.05816888;0.08771735;-1.0,-0.12531713;0.35850877,0.07741072;0.059365105;0.07039683;-1.0,False
0.07741072;0.059365105;0.07039683;-1.0,-0.17564711;0.46096784,0.07541072;0.06061156;0.05307633;-1.0,False
0.07541072;0.06061156;0.05307633;-1.0,-0.10096228;-0.68145347,0.07341073;0.061911482;0.03575582;-1.0,False
0.07341073;0.061911482;0.03575582;-1.0,0.027246041;0.16458425,0.07141072;0.063268386;0.018435312;-1.0,False
0.07141072;0.063268386;0.018435312;-1.0,-0.094033524;-0.9720344,0.06941073;0.0646861;0.0011148045;-1.0,False
0.06941073;0.0646861;0.0011148045;-1.0,-0.18293253;-0.6490781,0.06741073;0.06616881;-0.016205704;-1.0,False
0.06741073;0.06616881;-0.016205704;-1.0,-0.1328003;0.3450315,0.065410726;0.06772108;-0.033526212;-1.0,False
0.065410726;0.06772108;-0.033526212;-1.0,0.09469874;-0.74921936,0.06341073;0.069347925;-0.05084672;-1.0,False
0.06341073;0.069347925;-0.05084672;-1.0,-0.10762827;0.4321986,0.06141073;0.07105487;-0.068167225;-1.0,False
0.06141073;0.07105487;-0.068167225;-1.0,-0.03174444;0.2963848,0.059410732;0.072847955;-0.08548774;-1.0,False
0.059410732;0.072847955;-0.08548774;-1.0,0.05320613;0.067440435,0.057410732;0.07473388;-0.102808245;-1.0,False
