obs,actions,next_obs,rewards,dones
0.055682816;0.07644367;-0.117772445;-1.0,0.041554373;0.31889522,0.053682815;0.07852303;-0.13509296;-1.0,0.0,0
0.053682815;0.07852303;-0.13509296;-1.0,0.07733798;-0.20610963,0.05168282;0.080718674;-0.15241346;-1.0,0.0,0
0.05168282;0.080718674;-0.15241346;-1.0,-0.13910267;0.58555216,0.04968282;0.08304064;-0.16973397;-1.0,0.0,0
0.04968282;0.08304064;-0.16973397;-1.0,0.8271573;-1.0,0.04968282;0.08304064;-0.16973397;-1.0,0.8415756639951193,1
0.09803698;0.048977625;0.24902555;-1.0,-0.040735874;0.3578184,0.09603698;0.049822938;0.23170504;-1.0,0.0,0
0.09603698;0.049822938;0.23170504;-1.0,0.037425995;0.4197357,0.09403698;0.05069794;0.21438453;-1.0,0.0,0
0.09403698;0.05069794;0.21438453;-1.0,-0.23384859;0.3164257,0.092036985;0.05160423;0.19706403;-1.0,0.0,0
0.092036985;0.05160423;0.19706403;-1.0,-0.008555013;-0.73500574,0.09003698;0.05254351;0.17974351;-1.0,0.0,0
0.09003698;0.05254351;0.17974351;-1.0,0.13169096;-0.28531298,0.088036984;0.053517617;0.16242301;-1.0,0.0,0
0.088036984;0.053517617;0.16242301;-1.0,-0.18000816;0.12945138,0.08603699;0.054528523;0.1451025;-1.0,0.0,0
0.08603699;0.054528523;0.1451025;-1.0,0.058020137;0.9352572,0.08403698;0.055578355;0.12778199;-1.0,0.0,0
0.08403698;0.055578355;0.12778199;-1.0,-0.1947037;-0.7237211,0.08203699;0.056669407;0.11046149;-1.0,0.0,0
0.08203699;0.056669407;0.11046149;-1.0,0.044959795;-0.3409093,0.08003699;0.057804152;0.093140975;-1.0,0.0,0
0.08003699;0.057804152;0.093140975;-1.0,0.039942093;0.9736612,0.07803699;0.05898527;0.07582047;-1.0,0.0,0
0.07803699;0.05898527;0.07582047;-1.0,0.03675994;-0.27906746,0.07603699;0.060215663;0.058499962;-1.0,0.0,0
0.07603699;0.060215663;0.058499962;-1.0,-0.08277696;-0.8031331,0.07403699;0.061498478;0.041179452;-1.0,0.0,0
0.07403699;0.061498478;0.041179452;-1.0,0.121158026;-0.73496616,0.07203699;0.06283714;0.023858944;-1.0,0.0,0
0.07203699;0.06283714;0.023858944;-1.0,-0.2290938;-0.041796878,0.07003699;0.06423538;0.0065384363;-1.0,0.0,0
