obs,actions,next_obs,rewards,dones
0.04933921;0.08345308;-0.17270973;-1.0,0.6826354;-1.0,0.04933921;0.08345308;-0.17270973;-1.0,0.8552095294598268,1
0.10137592;0.04762855;0.27794167;-1.0,0.15540041;0.49945116,0.099375926;0.04842756;0.26062116;-1.0,0.0,0
0.099375926;0.04842756;0.26062116;-1.0,-0.06155004;0.8938832,0.09737593;0.049253833;0.24330065;-1.0,0.0,0
0.09737593;0.049253833;0.24330065;-1.0,0.019075083;-0.9071025,0.095375925;0.05010879;0.22598013;-1.0,0.0,0
0.095375925;0.05010879;0.22598013;-1.0,0.070632085;0.06809832,0.09337593;0.050993953;0.20865963;-1.0,0.0,0
0.09337593;0.050993953;0.20865963;-1.0,0.11781941;0.37133938,0.09137593;0.05191095;0.19133912;-1.0,0.0,0
0.09137593;0.05191095;0.19133912;-1.0,0.09310993;-0.46318635,0.08937593;0.05286153;0.1740186;-1.0,0.0,0
0.08937593;0.05286153;0.1740186;-1.0,-0.21527983;-0.13747653,0.08737593;0.053847577;0.15669811;-1.0,0.0,0
0.08737593;0.053847577;0.15669811;-1.0,-0.1906934;-0.62360346,0.085375935;0.054871105;0.1393776;-1.0,0.0,0
0.085375935;0.054871105;0.1393776;-1.0,-0.16127886;-0.1976941,0.08337593;0.0559343;0.12205709;-1.0,0.0,0
0.08337593;0.0559343;0.12205709;-1.0,-0.06899763;0.552444,0.081375934;0.05703951;0.10473658;-1.0,0.0,0
0.081375934;0.05703951;0.10473658;-1.0,-0.14049259;-0.85268766,0.07937594;0.058189277;0.08741607;-1.0,0.0,0
0.07937594;0.058189277;0.08741607;-1.0,0.1384746;-0.9984338,0.07737593;0.059386346;0.07009556;-1.0,0.0,0
0.07737593;0.059386346;0.07009556;-1.0,-0.07801035;-0.88931787,0.07537594;0.060633704;0.052775055;-1.0,0.0,0
0.07537594;0.060633704;0.052775055;-1.0,0.102133654;-0.9362667,0.07337594;0.061934587;0.035454545;-1.0,0.0,0
0.07337594;0.061934587;0.035454545;-1.0,0.17283772;-0.3747741,0.071375936;0.06329251;0.018134039;-1.0,0.0,0
0.071375936;0.06329251;0.018134039;-1.0,0.12795864;0.24757282,0.06937594;0.06471132;0.00081353006;-1.0,0.0,0
0.06937594;0.06471132;0.00081353006;-1.0,-0.06617477;0.080284335,0.06737594;0.0661952;-0.016506977;-1.0,0.0,0
0.06737594;0.0661952;-0.016506977;-1.0,0.17683524;0.5098773,0.06537594;0.06774872;-0.033827487;-1.0,0.0,0
0.06537594;0.06774872;-0.033827487;-1.0,-0.097538896;-0.2786673,0.06337594;0.069376916;-0.051147994;-1.0,0.0,0
0.06337594;0.069376916;-0.051147994;-1.0,0.03349203;0.84208757,0.061375942;0.071085304;-0.0684685;-1.0,0.0,0
0.061375942;0.071085304;-0.0684685;-1.0,0.18809682;-0.9816778,0.05937594;0.07287995;-0.08578901;-1.0,0.0,0
0.05937594;0.07287995;-0.08578901;-1.0,-0.23409642;0.6302901,0.057375945;0.07476755;-0.103109516;-1.0,0.0,0
0.057375945;0.07476755;-0.103109516;-1.0,-0.11380405;-0.88822645,0.055375945;0.07675554;-0.12043003;-1.0,0.0,0
0.055375945;0.07675554;-0.12043003;-1.0,-0.09198689;-0.7612942,0.053375944;0.07885213;-0.13775054;-1.0,0.0,0
0.053375944;0.07885213;-0.13775054;-1.0,-0.13436435;0.7980984,0.051375948;0.081066474;-0.15507105;-1.0,0.0,0
0.051375948;0.081066474;-0.15507105;-1.0,-0.13995863;0.72188056,0.049375948;0.08340878;-0.17239155;-1.0,0.0,0
0.049375948;0.08340878;-0.17239155;-1.0,0.8339818;-1.0,0.049375948;0.08340878;-0.17239155;-1.0,0.8500761989413084,1
