Vel_d,Phi_d,Trial_num,--,Pad_Connections,Body_Contact,Vel_flip,Phi_flip,Tau_tr,Theta_x_tr,D_perp_tr,Policy_tr,Policy_action,Vx_tr,Vz_tr,reward,reward_vals
0.5,10,0,--,0,True,0.5,9.8,0.266,21.945,0.022,1.569,7.934,0.492,0.085,0.345,[0.1   0.05  0.195 0.    0.   ]
0.5,10,1,--,0,True,0.57,7.93,0.277,24.826,0.023,1.535,7.93,0.567,0.079,0.291,[0.1   0.05  0.141 0.    0.   ]
0.5,10,2,--,0,True,0.59,7.54,0.287,24.938,0.024,1.526,7.905,0.589,0.078,0.18,[0.088 0.05  0.042 0.    0.   ]
0.5,10,3,--,0,True,0.5,9.67,0.275,21.414,0.023,1.502,7.947,0.493,0.084,0.203,[0.1   0.05  0.053 0.    0.   ]
0.5,10,4,--,0,True,0.5,9.67,0.271,21.833,0.023,1.517,7.85,0.493,0.084,0.335,[0.1   0.05  0.185 0.    0.   ]
0.5,15,0,--,0,True,0.52,13.82,0.254,15.965,0.032,1.622,7.987,0.504,0.124,0.168,[0.1   0.05  0.018 0.    0.   ]
0.5,15,1,--,0,True,0.5,14.45,0.254,15.275,0.032,1.639,7.983,0.485,0.125,0.206,[0.1   0.05  0.056 0.    0.   ]
0.5,15,2,--,0,True,0.54,13.36,0.262,15.861,0.033,1.53,7.887,0.522,0.124,0.203,[0.1   0.05  0.053 0.    0.   ]
0.5,15,3,--,0,True,0.5,14.37,0.259,15.079,0.032,1.609,7.858,0.484,0.124,0.164,[0.1   0.05  0.014 0.    0.   ]
0.5,15,4,--,0,True,0.5,14.29,0.258,15.181,0.032,1.593,7.968,0.483,0.123,0.29,[0.1  0.05 0.14 0.   0.  ]
0.5,20,0,--,0,False,15.16,-88.19,5.0,0.041,11.908,3.8,0.0,0.479,-15.148,0.002,[0.001 0.    0.    0.    0.   ]
0.5,20,1,--,0,False,14.83,-88.19,5.0,0.039,11.39,2.844,0.0,0.468,-14.821,0.002,[0.001 0.    0.    0.    0.   ]
0.5,20,2,--,0,True,0.51,18.29,0.257,11.718,0.041,1.557,7.952,0.481,0.159,0.349,[0.1   0.05  0.199 0.    0.   ]
0.5,20,3,--,0,True,0.52,18.57,0.243,12.157,0.04,1.711,7.947,0.491,0.165,0.15,[0.1  0.05 0.   0.   0.  ]
0.5,20,4,--,0,True,0.54,17.53,0.254,12.354,0.042,1.614,7.725,0.516,0.163,0.15,[0.1  0.05 0.   0.   0.  ]
0.75,10,0,--,0,True,0.75,9.53,0.272,21.87,0.034,1.571,7.739,0.739,0.124,0.142,[0.092 0.05  0.    0.    0.   ]
0.75,10,1,--,0,True,0.75,9.54,0.262,22.741,0.032,1.583,7.916,0.738,0.124,0.337,[0.1   0.05  0.187 0.    0.   ]
0.75,10,2,--,0,True,0.77,9.27,0.276,22.126,0.034,1.524,7.937,0.76,0.124,0.338,[0.1   0.05  0.188 0.    0.   ]
0.75,10,3,--,0,True,0.75,9.53,0.251,23.799,0.031,1.756,7.987,0.739,0.124,0.208,[0.1   0.05  0.058 0.    0.   ]
0.75,10,4,--,0,False,14.62,-87.07,5.0,0.066,11.021,3.8,0.0,0.748,-14.598,0.002,[0.001 0.    0.    0.    0.   ]
0.75,15,0,--,0,False,14.71,-87.19,5.0,0.062,11.232,3.8,0.0,0.722,-14.695,0.002,[0.001 0.    0.    0.    0.   ]
0.75,15,1,--,0,True,0.75,14.46,0.263,14.767,0.049,1.537,7.976,0.725,0.187,0.167,[0.1   0.05  0.017 0.    0.   ]
0.75,15,2,--,0,True,0.8,13.51,0.256,16.044,0.048,1.612,7.917,0.774,0.186,0.29,[0.1  0.05 0.14 0.   0.  ]
0.75,15,3,--,0,True,0.75,14.46,0.261,14.845,0.049,1.537,7.869,0.725,0.187,0.186,[0.1   0.05  0.036 0.    0.   ]
0.75,15,4,--,0,True,0.77,13.95,0.251,15.907,0.047,1.62,7.921,0.749,0.186,0.15,[0.1  0.05 0.   0.   0.  ]
0.75,20,0,--,0,True,0.75,19.53,0.249,11.308,0.062,1.592,7.987,0.705,0.25,0.286,[0.1   0.05  0.136 0.    0.   ]
0.75,20,1,--,0,False,16.07,-87.45,5.0,0.055,13.496,3.8,0.0,0.715,-16.05,0.002,[0.001 0.    0.    0.    0.   ]
0.5,10,0,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.]
0.5,10,1,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.]
0.5,10,2,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.]
0.5,10,3,--,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,[0. 0. 0. 0. 0.]
