Time (s),ESC signal,Servo 1,Servo 2,Servo 3,AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,Unnamed: 21
162.3212151,700,,,,-0.02923828125,0.00796875,-0.99962890625,0.0041259424386213,58.15421695045449,16.424335098266603,0.8521257651946508,0,2009.15322173232,13.995573215099578,8.289663290732918,59.33176033398789,6.805447188211757,3.996100626966949,0.18130859375,,
169.94509479999996,800,,,,-0.02576171875,0.004453125,-0.99421875,0.0050176683560183,73.94263483448741,16.38060791015625,1.1409943516156635,0,2249.58977948784,18.690170798760843,11.287554118541568,60.42408594474331,6.392027652081189,3.834637612011216,0.21341796875,,
177.54461285000005,900,,,,-0.0353515625,0.009765625,-0.99208984375,0.0060934756812008,91.2386076174722,16.32812297821045,1.4894745190045795,0,2477.56468638408,24.32032344829692,15.096767855604496,62.08290382724399,5.932307892366607,3.6575331669576254,0.16908203125,,
185.18930375,1000,,,,-0.0279296875,0.00345703125,-1.0003515625,0.0072698398342167,107.12809233985895,16.270112895965575,1.847198367824312,0,2691.08826707376,30.05412812617737,19.56354850523188,65.10029347825312,5.38497322821899,3.488363238431412,0.3066796875,,
192.82697999999996,1100,,,,-0.028515625,0.0065234375,-0.99873046875,0.0082940387906571,126.49984088190885,16.198430252075195,2.27566881965613,0,2899.6900192728,36.862258359547496,24.050007541722643,65.25352779586032,5.186634960660721,3.369555773953606,0.39275390625,,
200.48564609999997,1200,,,,-0.03140625,0.01126953125,-0.99658203125,0.0096368810239126,146.1180794574809,16.11676160812378,2.7688103349111044,0,3097.086757674,44.62423743137536,29.84677366030276,66.89270926049647,4.831727068688677,3.2231711914579653,0.55951171875,,
227.1520956,0,,,,0.00021484375,0.0031640625,-0.99826171875,-4.62160099751e-05,0.7366810978097618,16.34665916442871,-0.002733328702161,0,0.0,0.1383037038988006,0.0,0.0,0.0,0.0,0.069375,,
232.793365,100,,,,-0.02423828125,0.0065625,-0.99734375,8.82578041409e-05,0.39752082806782374,16.349080200195313,0.0237244233279489,0,225.147473508,0.3893302016956578,0.0828680234523216,33.4856879316618,188.4425462679852,8.705172346812674,0.09748046875,,
240.4622734500001,200,,,,-0.02849609375,0.00794921875,-0.98966796875,0.0003508954834796,3.573111961115881,16.347037887573244,0.0702316626138053,0,579.1002458135999,1.14807939218856,0.2717019536521931,23.738843354603947,12.313441244366825,1.7072174878034472,0.0985546875,,
248.14560705,300,,,,-0.02603515625,0.00705078125,-0.9967578125,0.0008370330327274,10.029290862150383,16.33804838180542,0.1452510000369511,0,892.8406321531199,2.3731207405162924,0.761982756924737,32.31221322128662,14.21416415603457,3.276633866032778,0.1181640625,,
256.02020745000004,400,,,,-0.02697265625,0.01130859375,-1.00072265625,0.0014526792835795,18.34527248243485,16.32480995178223,0.2575323539576493,0,1188.77866012224,4.204166283211711,1.7269648166023783,40.99893280666642,11.14441641551895,3.826460788046047,0.101171875,,
