vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.25,55.0,24,0.72,1.02,[5.   5.42],[2. 2.],4.63,0.0,9.36,0.01,0.0,0.9667,4.7415,0.0813,21.2527,0.7165,-3.2568,0.0555,1.8789,0.0038,0.2211,1.019,0.0,1.0011,0.315,2.7899,2.6129,0.3638,0.0603,0.5543,0.0755,,,0.1497,0.0082
1.25,60.0,0,0.6,1.04,[6.17 7.22],[2. 2.],4.78,0.0,8.0,0.05,0.0,0.6875,4.8902,0.0743,23.248,0.7094,-2.7655,0.0425,1.8853,0.0033,0.2147,1.035,0.0001,0.6433,0.4391,5.3646,6.316,0.2884,0.0787,0.4467,0.111,,,0.1556,0.014
1.25,60.0,1,0.6,1.04,[4.94 6.91],[2. 2.],4.72,0.0,7.93,0.03,0.0,0.875,4.8138,0.0513,22.5894,0.5503,-2.7234,0.0291,1.8822,0.0026,0.2178,1.035,0.0,0.8845,0.3535,2.1508,4.0286,0.2348,0.0675,0.3795,0.1007,,,0.1649,0.0114
1.25,60.0,2,0.6,1.04,[2.8  4.49],[2. 2.],5.31,0.03,4.97,0.08,0.0,0.0,5.4296,0.0981,28.525,1.106,-3.0769,0.0573,1.9061,0.0038,0.1939,1.035,0.0001,0.469,0.8503,10.733,4.0282,0.4749,0.021,0.3245,0.0793,,,0.1461,0.0087
1.25,60.0,10,0.63,1.08,[4.85 5.52],[2. 2.],4.78,0.01,7.46,0.0,0.0,0.8667,4.9147,0.0644,24.0893,0.8084,-2.7804,0.0387,1.8803,0.0038,0.2197,1.078,0.0,0.9131,0.2103,0.9724,2.1507,0.2724,0.0516,0.3619,0.0709,,,0.1687,0.0075
1.25,60.0,11,0.63,1.08,[4.79 6.06],[2. 2.],4.76,0.02,8.5,0.01,0.0,0.9667,4.8723,0.0548,22.2129,0.4831,-2.7568,0.032,1.8712,0.0025,0.2288,1.078,0.0,1.0169,0.2738,1.6083,2.8472,0.2675,0.0425,0.4984,0.0686,,,0.1578,0.0068
1.25,60.0,20,0.63,1.08,[1.   7.28],[2. 2.],5.0,0.01,6.03,0.0,0.0,0.2667,5.1227,0.0653,24.4928,0.5805,-2.8972,0.039,1.8821,0.0026,0.2179,1.078,0.0,0.4858,0.3413,2.6894,3.6435,0.2776,0.1961,0.2234,0.1457,,,0.2258,0.1533
1.25,60.0,21,0.63,1.08,[2.   6.84],[2. 2.],5.25,0.0,5.66,0.0,0.0,0.0,5.3993,0.0711,27.7994,1.6869,-3.053,0.0426,1.8953,0.0061,0.2047,1.078,0.0,0.3261,0.7059,13.7317,4.072,0.4814,0.0246,0.4317,0.056,,,0.1438,0.0072
1.25,60.0,22,0.63,1.08,[3.   5.49],[2. 2.],4.74,0.02,7.62,0.03,0.0,0.7333,4.851,0.0825,23.5509,0.8083,-2.7447,0.0485,1.8778,0.0039,0.2222,1.078,0.0,,,,,,,,,,,,
1.25,60.0,23,0.63,1.08,[4.   6.67],[2. 2.],6.98,0.02,6.41,0.0,0.0,0.0,7.2667,0.136,47.4008,2.213,-4.132,0.0781,1.9433,0.0036,0.1567,1.078,0.0,,,,,,,,,,,,
1.25,60.0,24,0.63,1.08,[5.  4.7],[2. 2.],4.77,0.0,8.67,0.01,0.0,0.9,4.8792,0.0598,22.2663,0.5294,-2.7587,0.0355,1.8715,0.0027,0.2285,1.078,0.0,0.8987,0.3806,2.9097,3.8867,0.263,0.1093,0.5314,0.1034,,,0.1691,0.0848
1.25,65.0,20,0.53,1.13,[1.   7.31],[2. 2.],6.93,0.0,6.36,0.0,0.0,0.0,7.1809,0.1676,46.0757,2.0397,-3.29,0.0799,1.9337,0.0037,0.1663,1.128,0.0,,,,,,,,,,,,
1.25,65.0,21,0.53,1.13,[2.   5.46],[2. 2.],4.67,0.01,7.68,0.0,0.0,0.5333,4.801,0.0615,21.7344,0.6359,-2.1814,0.0305,1.858,0.0035,0.242,1.128,0.0,1.068,0.0565,0.3301,0.148,0.1135,0.0288,0.3648,0.0438,,,0.1744,0.0037
1.25,65.0,22,0.53,1.13,[3.   6.34],[2. 2.],4.84,0.03,7.03,0.03,0.0,0.6333,4.9461,0.0614,24.4807,0.6117,-2.2476,0.0295,1.872,0.0028,0.228,1.128,0.0,0.926,0.0548,0.3475,0.1512,0.1584,0.036,0.3174,0.0584,,,0.1768,0.0046
1.25,65.0,23,0.53,1.13,[4.   5.32],[2. 2.],4.94,0.01,6.66,0.0,0.0,0.8333,5.0788,0.044,24.058,0.4138,-2.3083,0.0234,1.87,0.002,0.23,1.128,0.0,0.7613,0.2238,1.0244,2.3856,0.1922,0.0364,0.2948,0.0767,,,0.1758,0.0079
1.25,65.0,24,0.53,1.13,[5.   5.98],[2. 2.],4.94,0.0,6.68,0.01,0.0,0.3,5.0935,0.0951,25.8671,1.0728,-2.3175,0.0461,1.8781,0.0047,0.2219,1.128,0.0,0.2991,0.4078,6.7712,5.2069,0.2663,0.0618,0.4347,0.096,,,0.1587,0.0124
1.25,70.0,10,0.43,1.17,[4.13 7.96],[2. 2.],4.97,0.0,8.69,0.0,0.0,0.4,5.0861,0.0615,24.9058,1.4479,-1.7967,0.0233,1.8653,0.0067,0.2347,1.17,0.0,0.4266,0.5301,12.423,9.2828,0.1474,0.0585,0.711,0.0766,,,0.143,0.0093
1.25,70.0,11,0.43,1.17,[6.81 6.73],[2. 2.],5.04,0.0,6.88,0.18,0.0,0.6,5.1466,0.0581,25.481,1.2761,-1.8194,0.0221,1.868,0.0058,0.232,1.17,0.0,0.5844,0.4036,4.8851,5.9395,0.1314,0.0584,0.4486,0.1113,,,0.1645,0.0127
