Vel_d,Phi_d,Trial_num,LR_4Leg,Vel_flip,Phi_flip,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,Vz_flip_mean,Vx_flip_mean,Mu,Sigma
1.6,71.25,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.117 8.861],[0.011 0.04 ]
1.6,71.25,1,0.0,1.528,69.62,0.214,-1.749,0.305,-6.238,1.432,0.532,[2.215 6.236],[0.004 0.024]
1.6,71.25,2,0.28,1.614,70.712,0.223,-1.556,0.339,-7.203,1.523,0.533,[2.243 7.232],[0.016 0.036]
1.6,75.0,0,0.0,1.604,74.491,0.199,-1.382,0.309,-9.838,1.546,0.429,[2.072 9.784],[0.    0.038]
1.6,75.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.178 3.455],[0.039 0.096]
1.6,75.0,2,0.0,1.519,73.438,0.191,-1.585,0.277,-8.574,1.456,0.433,[1.953 8.505],[0.036 0.229]
1.6,78.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.217 7.37 ],[0.007 0.031]
1.6,78.75,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[2.243 7.823],[0.    0.248]
1.6,78.75,2,0.0,1.53,77.772,0.206,-1.052,0.308,-7.716,1.495,0.324,[2.103 7.723],[0.001 0.019]
1.6,82.5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.771 6.755],[0.004 0.2  ]
1.6,82.5,1,0.0,1.527,81.414,0.202,-0.766,0.304,-7.272,1.51,0.228,[2.067 7.305],[0.006 0.038]
1.6,82.5,2,0.0,1.533,82.05,0.212,-0.656,0.322,-3.898,1.518,0.212,[2.083 3.913],[0.026 0.023]
1.6,86.25,0,0.06,1.62,86.071,0.222,-0.302,0.36,-7.751,1.616,0.111,[2.233 7.661],[0.006 0.176]
1.6,86.25,1,0.06,1.562,85.925,0.218,-0.324,0.34,-6.502,1.558,0.111,[2.236 6.506],[0.014 0.008]
1.6,86.25,2,0.28,1.572,85.621,0.232,-0.324,0.363,-4.716,1.567,0.12,[2.359 4.586],[0.004 0.147]
1.6,90.0,0,0.0,1.52,89.284,0.196,-0.08,0.297,-3.031,1.52,0.019,[2.031 3.036],[0.016 0.079]
1.6,90.0,1,0.0,1.527,89.925,0.208,-0.004,0.318,-7.778,1.527,0.002,[2.139 7.678],[0.005 0.586]
1.6,90.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.805 6.164],[0.078 0.246]
1.7,30.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.836 4.543],[0.007 0.043]
1.7,30.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.966 5.549],[0.037 0.541]
1.7,30.0,2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.967 7.272],[0.013 0.54 ]
1.7,33.75,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,[1.461 2.359],[0.019 0.049]
