vel_d,phi_d,trial_num,LR_4Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
1.9,56.25,0,0.9444,0.2204,-3.3761,0.3202,-6.5766,1.4495,1.091,0.0027,0.0734,0.0076,0.1601,0.029,0.017,[0.531 4.422],[0.269 0.583]
1.9,60.0,0,0.7222,0.2195,-2.9289,0.3365,-6.3047,1.5307,0.9984,0.0026,0.0893,0.0082,0.1701,0.0302,0.0147,[3.097 5.912],[1.393 0.454]
1.9,63.75,0,0.3333,0.218,-2.494,0.3445,-6.0462,1.5807,0.8652,0.0012,0.0699,0.0071,0.0506,0.0287,0.0195,[0.271 3.122],[0.059 0.559]
1.9,67.5,0,0.0,,,,,,,,,,,,,[0.518 4.494],[0.083 0.13 ]
1.9,71.25,0,0.0,,,,,,,,,,,,,[0.256 8.169],[0.111 1.288]
1.9,75.0,0,0.0,,,,,,,,,,,,,[0.628 7.937],[0.204 1.384]
1.9,78.75,0,0.0,,,,,,,,,,,,,[0.492 6.585],[0.186 0.681]
1.9,82.5,0,0.0,,,,,,,,,,,,,[0.498 5.898],[0.192 1.505]
1.9,86.25,0,0.0,,,,,,,,,,,,,[0.374 2.286],[0.163 0.289]
1.9,90.0,0,0.0,,,,,,,,,,,,,[2.42  3.519],[1.137 1.157]
2.0,30.0,0,0.0,,,,,,,,,,,,,[1.27  6.734],[0.582 0.429]
2.0,33.75,0,0.8889,0.2249,-7.8116,0.219,-8.0092,0.9696,1.7214,0.0021,0.3061,0.0086,0.1949,0.0287,0.025,[0.183 5.054],[0.068 0.945]
2.0,37.5,0,1.0,0.2273,-6.4493,0.2522,-7.6832,1.0973,1.6427,0.0025,0.2964,0.0122,0.2306,0.0377,0.0287,[0.351 2.694],[0.09 0.35]
2.0,41.25,0,0.9444,0.2257,-5.6369,0.2729,-7.5868,1.2002,1.5529,0.0036,0.2325,0.0116,0.2453,0.0412,0.0268,[1.005 7.417],[0.736 0.47 ]
2.0,45.0,0,1.0,0.2262,-4.8767,0.2967,-7.2548,1.3026,1.4624,0.0023,0.1834,0.0101,0.1864,0.0378,0.0252,[0.2   8.745],[0.355 1.06 ]
2.0,48.75,0,1.0,0.2241,-4.3444,0.3095,-7.0864,1.3761,1.3579,0.0023,0.1319,0.0104,0.1614,0.036,0.0231,[0.489 2.219],[0.141 0.593]
2.0,52.5,0,1.0,0.2224,-3.7593,0.3313,-6.7961,1.482,1.261,0.0028,0.1559,0.0131,0.2124,0.0458,0.0152,[0.253 3.872],[0.146 1.316]
2.0,56.25,0,1.0,0.2214,-3.3547,0.3406,-6.5814,1.5366,1.1522,0.0022,0.0918,0.007,0.1784,0.0243,0.0196,[0.306 6.604],[0.267 1.643]
2.0,60.0,0,0.9444,0.2209,-2.874,0.3563,-6.2578,1.6084,1.0352,0.0029,0.0661,0.0096,0.209,0.0299,0.0172,[0.086 5.887],[0.016 1.202]
2.0,63.75,0,0.4444,0.2184,-2.5366,0.364,-6.2189,1.6655,0.9336,0.0029,0.0904,0.0039,0.2404,0.0119,0.0386,[0.177 5.915],[0.003 0.972]
2.0,67.5,0,0.0,,,,,,,,,,,,,[0.14 4.8 ],[0.109 0.769]
2.0,71.25,0,0.0,,,,,,,,,,,,,[0.438 5.909],[0.161 0.482]
