t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
4.867,-0.0007055282171656336,-0.0004982123452846049,0.30648781366790634,0.9999905447626409,-0.003628006305978186,0.0022793121490896086,-0.0007434323692836765,-0.0043695327913825365,-0.002071288323765238,1.8180651072693208,-0.3950981998033396,0.15681458483493288,-0.02519442236832616
4.873,-0.0007301538945244943,-0.0005080252262851299,0.3174915781476237,0.9999836032492987,-0.005067708385652371,0.0025469254221750556,-0.0007904018985300744,-0.004049469897855255,-0.0013756517132734482,1.8447896425471197,-0.5862459064837922,0.1876408174761141,-0.03635586477302789
4.878,-0.0007487956931230579,-0.0005122992858599368,0.32679957227162,0.9999720559638517,-0.006804280565161397,0.0029638779085675903,-0.0008969309678310876,-0.003526111953727923,-0.0004735464757726796,1.8737400089339598,-0.7613307073051057,0.1342348243495396,-0.04080909970523613
4.882,-0.0007620015004001782,-0.0005117439340571871,0.33435548765694967,0.9999589060053454,-0.008415399006935947,0.003225678266188837,-0.000980999423925054,-0.0031700642421853592,0.0005604125161495234,1.8981294252327368,-0.804227247098007,0.14159213288884362,-0.0407075163969517
4.886,-0.000773809301389515,-0.0005062271525773036,0.3420090253680141,0.9999442866828192,-0.009866915302543933,0.003595849929910654,-0.0010664783551192934,-0.0028157912111113543,0.0018830602469648064,1.9225355772673027,-0.6715727630606985,0.21519284084643758,-0.04290939556649375
4.893,-0.0007900789144326215,-0.00048384938537396474,0.3556361089470634,0.999917726418125,-0.01196647167941886,0.00445694044205281,-0.001216401351886917,-0.0018493465769453192,0.004123497331739889,1.9641022630898346,-0.6060665987495909,0.19928084407625982,-0.03732306187426466
4.897,-0.0007957407424995698,-0.00046440918909838993,0.36354696927509283,0.999899087952821,-0.01336155193777889,0.004654323347719394,-0.001272837423120844,-0.0011807688972736343,0.005351677231180824,1.9866697011946688,-0.7507906947598797,0.06638832143979351,-0.024383980026642535
4.902,-0.0007994784321441177,-0.00043189494799693664,0.37357151183773707,0.9998678703655467,-0.015479386972453078,0.004778989344289734,-0.0013385254837349134,-0.0004843033332019582,0.007377856458870357,2.0170831750652534,-0.8788723154413725,0.05869274844829596,-0.02292906784371638
4.906,-0.0008002192302796294,-0.00039698183325309155,0.3817008337115191,0.9998404172044283,-0.017102218867199807,0.004971343684748633,-0.0013928303060429812,-4.3492328013178505e-06,0.009587419122633577,2.041485655784258,-0.7544669792867598,0.12187370479638394,-0.02618151154137473
4.91,-0.0007988774430781375,-0.0003525740160364982,0.38992789039713305,0.9998149446130901,-0.018443701825135057,0.005272830708089739,-0.0014503956814153984,0.0005577754479854187,0.012025138919206549,2.0659353686573794,-0.6329181163632064,0.16101439369305998,-0.028796909809176163
4.916,-0.000792039187014972,-0.0002679051766346841,0.40244379662635815,0.9997733728255805,-0.020436469841578174,0.0057554331155026325,-0.0015584219677788947,0.0015274825125233718,0.015492145750522683,2.098433621463698,-0.7664140422933571,0.1950834290742638,-0.05015374738693292
4.921,-0.000781021291870617,-0.00018072993141698152,0.4130257409518762,0.9997239126062463,-0.022623814407366327,0.006118399379439191,-0.0016813012678257762,0.0026340772126665557,0.018777705181387456,2.128508442842911,-0.9408871361650075,0.12400568720116664,-0.045100455726931055
4.926,-0.0007647530207559377,-7.543290123113565e-05,0.4237595694037473,0.9996665713968359,-0.02492651477456383,0.0064933100153438455,-0.0018032797710825696,0.0036621950194450515,0.022660241833814484,2.1589338269634144,-0.8655389193724515,0.18292370183964912,-0.048867098020761106
