V_mag_d,V_angle_d,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,Policy_Trg_Action_trg,Policy_Rot_Action_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals
2.5,60,0,31,--,0,False,False,False,--,0.0,-93.755,2.492,59.823,0.0,0.0,0.215,0.315,1.844,0.679,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.384 0.918 0.491 1.   ]
2.5,60,0,32,--,0,False,False,False,--,0.0,-76.834,2.501,60.031,0.0,0.0,0.217,0.317,1.818,0.687,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.411 0.889 0.499 1.   ]
2.5,60,0,33,--,0,False,False,False,--,0.0,-92.761,2.501,59.993,0.0,0.0,0.214,0.314,1.841,0.679,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.869 0.403 0.87  0.538 1.   ]
2.5,60,0,34,--,0,False,False,False,--,0.0,-89.164,2.498,59.946,0.0,0.0,0.217,0.317,1.826,0.685,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.396 0.898 0.496 1.   ]
2.5,60,0,35,--,0,False,False,False,--,0.0,-89.05,2.496,59.881,0.0,0.0,0.217,0.317,1.831,0.684,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.395 0.9   0.496 1.   ]
2.5,60,0,36,--,0,False,False,False,--,0.0,-91.759,2.5,59.949,0.0,0.0,0.215,0.315,1.835,0.682,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.861 0.403 0.873 0.531 1.   ]
2.5,60,0,37,--,0,False,False,False,--,0.0,-90.775,2.5,59.96,0.0,0.0,0.214,0.314,1.842,0.679,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.869 0.399 0.887 0.499 1.   ]
2.5,60,0,38,--,0,False,False,False,--,0.0,-95.09,2.497,59.94,0.0,0.0,0.212,0.312,1.856,0.674,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.887 0.386 0.912 0.492 1.   ]
2.5,60,0,39,--,0,False,False,False,--,0.0,-94.081,2.5,60.036,0.0,0.0,0.208,0.308,1.874,0.666,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.923 0.383 0.919 0.49  0.5  ]
2.5,60,0,40,--,0,False,False,False,--,0.0,-84.036,2.484,59.889,0.0,0.0,0.217,0.318,1.826,0.682,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.844 0.403 0.89  0.499 1.   ]
2.5,60,0,41,--,0,False,False,False,--,0.0,-94.151,2.498,59.95,0.0,0.0,0.213,0.313,1.846,0.678,--,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,--,0,[1.    0.878 0.382 0.92  0.49  0.5  ]
