V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale
2.5,60,0,31,--,4,False,True,False,--,0.95,-94.779,2.5,30.0,2.5,30.0,0.214,0.314,1.841,0.463,0.679,--,-135.361,135.361,-19.375,0.325,1.249,nan,nan,nan,nan,--,0.829,[1.    0.872 0.464 0.732 0.836 1.   ],[ 0.946 -0.854  0.088  0.086],[-100    0]
2.5,60,0,32,--,4,False,True,False,--,0.959,-94.548,2.5,30.0,2.5,30.0,0.213,0.312,1.848,0.46,0.677,--,-133.892,133.892,-19.3,0.33,1.26,nan,nan,nan,nan,--,0.825,[1.    0.882 0.46  0.743 0.814 1.   ],[ 0.957 -0.866  0.087  0.078],[-100    0]
2.5,60,0,33,--,4,False,True,False,--,0.845,-86.019,2.5,30.0,2.5,30.0,0.216,0.316,1.829,0.467,0.683,--,-136.982,136.982,-18.423,0.374,1.057,nan,nan,nan,nan,--,0.836,[1.    0.854 0.482 0.719 0.86  1.   ],[ 0.863 -0.783  0.092  0.11 ],[-100    0]
2.5,60,0,34,--,4,False,True,False,--,0.954,-93.494,2.5,30.0,2.5,30.0,0.213,0.313,1.844,0.462,0.678,--,-134.538,134.538,-19.19,0.336,1.233,nan,nan,nan,nan,--,0.827,[1.    0.876 0.463 0.738 0.824 1.   ],[ 0.952 -0.861  0.087  0.082],[-100    0]
2.5,60,0,35,--,4,False,True,False,--,0.952,-93.014,2.5,30.0,2.5,30.0,0.213,0.313,1.844,0.462,0.678,--,-134.973,134.973,-19.179,0.335,1.219,nan,nan,nan,nan,--,0.828,[1.    0.876 0.465 0.735 0.83  1.   ],[ 0.952 -0.861  0.088  0.082],[-100    0]
2.5,60,0,36,--,4,False,True,False,--,0.971,-94.211,2.5,30.0,2.5,30.0,0.21,0.309,1.866,0.454,0.67,--,-132.267,132.267,-19.201,0.337,1.271,nan,nan,nan,nan,--,0.821,[1.    0.909 0.456 0.756 0.79  1.   ],[ 0.972 -0.878  0.085  0.063],[-100    0]
2.5,60,0,37,--,4,False,True,False,--,0.964,-93.927,2.5,30.0,2.5,30.0,0.211,0.311,1.859,0.456,0.672,--,-133.019,133.019,-19.234,0.333,1.257,nan,nan,nan,nan,--,0.823,[1.    0.899 0.458 0.75  0.801 1.   ],[ 0.967 -0.874  0.085  0.069],[-100    0]
2.5,60,0,38,--,4,False,True,False,--,0.954,-93.271,2.5,30.0,2.5,30.0,0.211,0.311,1.856,0.457,0.674,--,-133.089,133.089,-19.117,0.341,1.244,nan,nan,nan,nan,--,0.823,[1.    0.894 0.459 0.749 0.802 1.   ],[ 0.964 -0.872  0.086  0.071],[-100    0]
2.5,60,0,39,--,4,False,True,False,--,0.638,-72.231,2.5,30.0,2.5,30.0,0.219,0.319,1.812,0.474,0.69,--,-140.521,140.521,-16.847,0.452,0.689,nan,nan,nan,nan,--,0.861,[1.    0.829 0.594 0.691 0.913 1.   ],[ 0.524 -0.621  0.097  0.158],[-100    0]
2.5,60,0,40,--,4,False,True,False,--,0.776,-86.853,2.5,30.0,2.5,30.0,0.217,0.317,1.823,0.469,0.686,--,-137.279,137.279,-18.525,0.368,1.071,nan,nan,nan,nan,--,0.836,[1.    0.846 0.481 0.717 0.865 1.   ],[ 0.79  -0.739  0.094  0.123],[-100    0]
