Control protocol: Standard PWM at 50Hz
Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
3.5206000000000057,1000,,,,0,0.001953125,-0.98828125,-0.000954732096574004,-2.4632367748408965,24.93000030517578,0.009765625,0,0,0.24345703423023224,0,0,0,0,0.11180993169546127,-0.4105851985514164,0.4044012166559696,0.0625,0.030918379023069972,1,1,0,0,0,0,0,0,,
3.529580000000016,1000,,,,0,0.0078125,-0.990234375,,-2.4632367748408965,24.921335220336914,0.01953125,0,0,0.48674482852220535,,0,,0,,,0.4044012166559696,0.0625,0.030887673003462766,1,1,0,0,0,0,0,0,,
3.5380299999999987,1000,,,,0,0.00390625,-0.98828125,-0.001249687022490083,-1.9238929881221791,24.926002502441406,0,0,0,0,0,0,0,0,0.11180993169546127,-0.40865037590265274,0.40493905544281006,0.0625,0.030801382826900668,1,1,0,0,0,0,0,0,,
3.5474200000000127,1000,,,,0,0.0078125,-0.990234375,-0.0014271210073475973,,24.922000885009766,0.0146484375,0,0,0.36506837233901024,0,0,0,0,0.11263648048043251,-0.408305786550045,,0.0625,0.030760558641993393,1,1,0,0,0,0,0,0,,
3.556020000000019,1000,,,,0,0.005859375,-1.021484375,,-0.6911071899079673,24.926002502441406,0.0146484375,0,0,0.36512698978185654,,0,,0,,,0.4061684012413025,0.0625,0.030710499755028074,1,1,0,0,0,0,0,0,,
3.5691449999999896,1000,,,,0,0.0078125,-0.990234375,-0.00183314340184156,-0.6911071899079673,24.922000885009766,0.0244140625,0,0,0.6084472872316837,0,0,0,0,0.11532334610819817,-0.408305786550045,0.4061684012413025,0.0625,0.030684571190803388,1,1,0,0,0,0,0,0,,
3.577720000000001,1000,,,,0,0.00390625,-0.986328125,-0.0018132667762683946,,24.924001693725586,-0.009765625,0,0,0.24339845404028893,0,0,0,0,0.11532334610819817,-0.4084361717104912,,0.0625,0.030576699014129932,1,1,0,0,0,0,0,0,,
3.5861650000000083,1000,,,,0,0.005859375,-1.021484375,,-0.15176340318924955,24.922000885009766,0.0341796875,0,0,0.8518262021243572,,0,,0,,,0.40670624002814293,0.0625,0.030586155024007418,1,1,0,0,0,0,0,0,,
3.6005650000000315,1000,,,,0,0.00390625,-0.98828125,-0.0011497038560228383,-1.9005447722469098,24.924001693725586,0.0146484375,0,0,0.3650976810604334,0,0,0,0,0.11252705007791519,-0.41001709178090096,0.40496233850717545,0.0625,0.030545275488605438,1,1,0,0,0,0,0,0,,
3.6083000000000176,1000,,,,0,0.00390625,-0.98828125,-0.001115274701012177,-1.365870628703246,24.92000389099121,0.02604166604578495,0,0,0.6489584191888547,0,0,0,0,0.11252705007791519,-0.4102429375052452,0.4054955206811428,0.0625,0.03052548293499044,1,1,0,0,0,0,0,0,,
3.621530000000028,1000,,,,0,0.005859375,-1.01953125,-0.0008986065823247252,,24.924001693725586,0.0048828125,0,0,0.12169922702014446,0,0,0,0,0.11211028322577477,-0.41125109419226646,,0.0625,0.030416557895221987,1,1,0,0,0,0,0,0,,
3.629210000000021,1000,,,,0,0.005859375,-0.986328125,-0.000816086776551881,-1.365870628703246,24.922000885009766,0.0048828125,0,0,0.12168945744633675,0,0,0,0,0.1127738505601883,-0.4124501720070839,0.4054955206811428,0.0625,0.030357786766231624,1,1,0,0,0,0,0,0,,
