Control protocol: DShot600
Time (s),ESC signal,Servo 1,Servo 2,Servo 3,AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
35.793875,1178,,,,-0.0625,0.00390625,-0.9765625,-0.06692246543183883,615.3912606460568,23.420001983642578,8.6279296875,0,0,202.0661303959787,0,0,0,0,0.3119371831417084,-0.176234170794487,1.0205316357314587,0.46875,8.291082490995123,1,1,0,0,0,0,0,0,,
35.80206,1178,,,,0,0.1171875,-0.943359375,,,23.408000946044922,8.6474609375,0,0,202.4197738058865,,0,,,,,,0.4765625,8.292044601647007,1,1,0,0,0,0,0,0,,
35.820484999999984,1178,,,,0.140625,-0.0546875,-1.072265625,-0.06666665668474671,622.8907075851932,23.409000396728516,8.6767578125,0,0,203.11422707512975,0,0,0,0,0.307462178170681,-0.1734762918204069,1.028010156005621,0.48046875,8.294119005312035,1,1,0,0,0,0,0,0,,
35.831375,1178,,,,0.30859375,0.12890625,-1.015625,-0.06830151952125146,623.9156942621175,23.401334762573242,8.619791984558105,0,0,201.7146378143898,0,0,0,0,0.31718285754323006,-0.17238780856132507,1.0290322825312614,0.478515625,8.295329670832478,1,1,0,0,0,0,0,0,,
35.84295000000001,1178,,,,-0.5625,0.2421875,-0.9453125,,,23.406002044677734,8.6865234375,0,0,203.31678533926606,,0,,,,,,0.478515625,8.296433569461774,1,1,0,0,0,0,0,0,,
35.85358499999996,1178,,,,0.228515625,-0.16015625,-1.060546875,-0.06963194925838039,622.246296827036,23.41200065612793,8.720703125,0,0,204.1691072843969,0,0,0,0,0.319494865834713,-0.16595236957073212,1.0273675434291363,0.484375,8.298176054531833,1,1,0,0,0,0,0,0,,
35.87832000000001,1178,,,,-0.109375,0.060546875,-0.9453125,-0.06871552867240899,622.4085669273691,23.40960121154785,8.7451171875,0,0,204.71970590762794,0,0,0,0,0.31773699447512627,-0.17022131942212582,1.0275293607264757,0.48046875,8.301677431134687,1,1,0,0,0,0,0,0,,
35.88738000000001,1178,,,,0.01953125,-0.046875,-0.953125,-0.06662009505008638,622.215944146398,23.410667419433594,8.680012702941895,0,0,203.20489058503154,0,0,0,0,0.3081769682466984,-0.17449026927351952,1.0273372754454613,0.474609375,8.302753341182123,1,1,0,0,0,0,0,0,,
35.89606,1178,,,,-0.0625,0.11328125,-1.02734375,,,23.41200065612793,8.6279296875,0,0,201.99709550477564,,0,,,,,,0.47265625,8.303665853645269,1,1,0,0,0,0,0,0,,
35.91077500000002,1178,,,,-0.4375,0.03125,-0.9765625,-0.06552290861042044,622.215944146398,23.408000946044922,8.5400390625,0,0,199.9052424542606,0,0,0,0,0.3010313957929611,-0.1746043562889099,1.0273372754454613,0.470703125,8.304761592223814,1,1,0,0,0,0,0,0,,
35.92421499999997,1178,,,,-0.23046875,0.08984375,-0.99609375,-0.0666322767657828,622.215944146398,23.40900230407715,8.714599609375,0,0,204.0000823349692,0,0,0,0,0.3006285987794399,-0.16692792996764183,1.0273372754454613,0.470703125,8.306419801969266,1,1,0,0,0,0,0,0,,
35.935895000000016,1178,,,,0.25,0.03125,-0.96875,-0.0666322767657828,622.2789843292612,23.417333602905273,8.6181640625,0,0,201.81442289613187,0,0,0,0,0.3006285987794399,-0.16692792996764183,1.0274001397192478,0.46875,8.307540144789918,1,1,0,0,0,0,0,0,,
35.946604999999984,1178,,,,-0.064453125,-0.0390625,-1.01953125,-0.06791086028535913,622.2789843292612,23.406002044677734,8.525390625,0,0,199.5453104004264,0,0,0,0,0.30908966436982155,-0.16692792996764183,1.0274001397192478,0.466796875,8.308213233795433,1,1,0,0,0,0,0,0,,
35.960125,1178,,,,0.03125,-0.0625,-0.974609375,-0.06681196684295697,625.9983551181916,23.417333602905273,8.644206047058105,0,0,202.42425673621074,0,0,0,0,0.30908966436982155,-0.17413636669516563,1.031109131872654,0.46484375,8.309793360224106,1,1,0,0,0,0,0,0,,
35.972275000000025,1178,,,,-0.1875,0.13671875,-0.95703125,-0.06614699082424502,625.9983551181916,23.410667419433594,8.663737297058105,0,0,202.82387247076986,0,0,0,0,0.3046891652047634,-0.17413636669516563,1.031109131872654,0.466796875,8.31111576776382,1,1,0,0,0,0,0,0,,
35.98309500000003,1178,,,,-0.50390625,0.5625,-0.7734375,-0.06698748813419601,622.7763013274044,23.4133358001709,8.7744140625,0,10.471975512,205.43830289505422,0,0,0,0,0.3046891652047634,-0.168622937053442,1.0278960689902306,0.470703125,8.31256752626869,1,1,0,0,0,0,0,0,,
35.99916499999998,1178,,,,0.15625,-0.228515625,-1.048828125,-0.06858483793575805,622.7763013274044,23.406002044677734,8.60595703125,0,13.92772743096,201.43104786984622,0,0,0,0,0.3152596764266491,-0.168622937053442,1.0278960689902306,0.46875,8.313496518152885,1,1,0,0,0,0,0,0,,
36.015104999999984,1178,,,,-0.01953125,-0.064453125,-0.947265625,-0.06951411058452792,626.3789310369585,23.40533447265625,8.717448234558105,0,15.28908424752,204.0347916778992,0,0,0,0,0.32029347494244576,-0.16751699149608612,1.0314886458218098,0.46484375,8.316380235930348,1,1,0,0,0,0,0,0,,
36.02402500000002,1178,,,,0.25,-0.00390625,-1.09375,-0.06915313686652955,626.3789310369585,23.40999984741211,8.729248046875,0,15.49852375776,204.3516954453662,0,0,0,0,0.32029347494244576,-0.16988487914204597,1.0314886458218098,0.46875,8.317434695379655,1,1,0,0,0,0,0,0,,
36.034440000000004,1178,,,,-0.15625,-0.056640625,-0.880859375,-0.06667018693322402,610.4391040589122,23.41200065612793,8.6962890625,0,15.603243512879999,203.59752523712814,0,0,0,0,0.31747156754136086,-0.18337508663535118,1.01559329777956,0.474609375,8.318727427781665,1,1,0,0,0,0,0,0,,
36.04421000000002,1178,,,,0,0.099609375,-1.083984375,,,23.404001235961914,8.72314453125,0,15.603243512879999,204.1564853908494,,0,,,,,,0.47265625,8.320009878450549,1,1,0,0,0,0,0,0,,
36.05305499999999,1178,,,,-0.1875,0.0703125,-1.025390625,-0.06652135896713134,610.4391040589122,23.404001235961914,8.7109375,0,15.603243512879999,203.87079201638699,0,0,0,0,0.316486693918705,-0.18337508663535118,1.01559329777956,0.46875,8.321102003891069,1,1,0,0,0,0,0,0,,
36.07140999999997,1178,,,,0.125,-0.099609375,-0.9375,-0.06696361388613427,628.8398329902118,23.40266990661621,8.836262702941895,0,15.603243512879999,206.7921392450935,0,0,0,0,0.316486693918705,-0.18047401681542397,1.0339426808059216,0.474609375,8.323863693475824,1,1,0,0,0,0,0,0,,
36.08035500000004,1178,,,,0.029296875,-0.0390625,-0.95703125,-0.06872872922497983,628.8398329902118,23.41200065612793,8.624674797058105,0,15.603243512879999,201.92089200761438,0,0,0,0,0.316486693918705,-0.16889534890651703,1.0339426808059216,0.47265625,8.324811946024104,1,1,0,0,0,0,0,0,,
36.08801000000001,1178,,,,0.0625,-0.11328125,-1.0078125,-0.06894370295378036,626.1291051270931,23.408000946044922,8.935546875,0,15.603243512879999,209.16328970342875,0,0,0,0,0.31790928915143013,-0.16889534890651703,1.0312395170331001,0.470703125,8.32631242574728,1,1,0,0,0,0,0,0,,
36.098359999999985,1178,,,,-0.125,0.06640625,-0.884765625,,,23.408000946044922,8.74267578125,0,15.603243512879999,204.64856295846403,,0,,,,,,0.466796875,8.327643190293385,1,1,0,0,0,0,0,0,,
36.11198499999998,1178,,,,-0.03125,0.044921875,-0.9296875,-0.06833959551225309,625.9960202966041,23.404001235961914,8.69384765625,0,15.603243512879999,203.4708212921396,0,0,0,0,0.31790928915143013,-0.1728581264615059,1.0311068035662174,0.466796875,8.329222238604414,1,1,0,0,0,0,0,0,,
36.20734999999998,1178,,,,-0.28125,-0.017578125,-0.951171875,-0.06565751412476757,625.8068997480144,23.40799903869629,8.7548828125,0,25.132741228799997,204.93428845889866,0,0,0,0,0.3076321445405483,-0.18026446923613548,1.0309182107448578,0.466796875,8.34085285999411,1,1,0,0,0,0,0,0,,
36.22726500000002,1178,,,,0.1484375,-0.033203125,-1.01953125,-0.06686004254586589,623.627343796058,23.408000946044922,8.80078125,0,61.784655520799994,206.0086958259344,0,0,0,0,0.3119022585451603,-0.17660902813076973,1.028744736686349,0.462890625,8.34468171048697,1,1,0,0,0,0,0,0,,
36.23546999999997,1178,,,,0.09375,-0.205078125,-1.017578125,,,23.404001235961914,8.888346672058105,0,97.28465250648,208.02287649850587,,0,,,,,,0.46484375,8.346115368048698,1,1,0,0,0,0,0,0,,
36.24473999999999,1178,,,,0.0625,-0.162109375,-1.001953125,-0.0681559201192096,620.1169395392113,23.404001235961914,8.671875,0,110.37462189648,202.95657321810722,0,0,0,0,0.31617237254977226,-0.1723412424325943,1.025244127959013,0.470703125,8.346930000380256,1,1,0,0,0,0,0,0,,
36.25347000000003,1178,,,,0,0.087890625,-0.9140625,,,23.404001235961914,8.80859375,0,116.13420842807999,206.1563390120864,,0,,,,,,0.46875,8.348390371991638,1,1,0,0,0,0,0,0,,
36.26933000000002,1178,,,,0.03125,-0.21875,-0.984375,-0.06687643214924419,622.4552633591195,23.39800262451172,8.726806640625,0,118.33332328559999,204.18984468095005,0,0,0,0,0.30519207939505577,-0.1698499545454979,1.0275759268552065,0.46875,8.350168826664902,1,1,0,0,0,0,0,0,,
36.27982999999996,1178,,,,-0.0625,0.16796875,-0.935546875,,,23.41400146484375,8.78662109375,0,118.75220230608,205.7299591600895,,0,,,,,,0.470703125,8.35164921329945,1,1,0,0,0,0,0,0,,
36.288390000000014,1178,,,,0.166015625,-0.12890625,-1.0078125,-0.06537654717409212,624.7935871790278,23.406002044677734,8.6767578125,0,118.8569220612,203.0882111005485,0,0,0,0,0.30352501198649406,-0.17803627997636795,1.0299077257514,0.4765625,8.352574266532672,1,1,0,0,0,0,0,0,,
36.29916499999998,1178,,,,-0.125,0.10546875,-0.951171875,-0.06410781515108933,622.5077968448389,23.416000366210938,8.642578125,0,118.96164181632,202.37461254000664,0,0,0,0,0.2951291389763355,-0.17803627997636795,1.0276283137500286,0.4765625,8.353576079166217,1,1,0,0,0,0,0,0,,
36.317054999999996,1178,,,,-0.125,0.07421875,-0.79296875,,,23.406002044677734,8.62548828125,0,118.96164181632,201.88819634728134,,0,,,,,,0.47265625,8.355108938307046,1,1,0,0,0,0,0,0,,
36.32622999999998,1178,,,,0.20703125,-0.177734375,-1.10546875,-0.06618661433912584,614.9126222206138,23.400001525878906,8.7158203125,0,118.96164181632,203.95020861178637,0,0,0,0,0.30038878321647644,-0.16961363144218922,1.0200543329119682,0.470703125,8.356078225896503,1,1,0,0,0,0,0,0,,
36.334315000000004,1178,,,,0,0.0234375,-1.10546875,,,23.404001235961914,8.68408203125,0,118.96164181632,203.24226659256965,,0,,,,,,0.46875,8.356944207543043,1,1,0,0,0,0,0,0,,
36.34486000000005,1178,,,,0,0.009765625,-1.091796875,-0.0688015228779577,622.7903102569296,23.404001235961914,8.71826171875,0,118.96164181632,204.04220804106444,0,0,0,0,0.3164634108543396,-0.1683947630226612,1.0279100388288498,0.466796875,8.358045853113579,1,1,0,0,0,0,0,0,,
36.35584500000003,1178,,,,-0.0625,0.0703125,-0.927734375,-0.0688015228779577,622.7903102569296,23.39800262451172,8.623046875,0,118.96164181632,201.76207341253757,0,0,0,0,0.3164634108543396,-0.1683947630226612,1.0279100388288498,0.46484375,8.358816065759294,1,1,0,0,0,0,0,0,,
36.376565,1178,,,,0.078125,-0.068359375,-1.033203125,-0.06771886548371396,622.3490289768871,23.404003143310547,8.7451171875,0,86.81267699448,204.6707501448691,0,0,0,0,0.3101350739598274,-0.16922364011406898,1.027469988912344,0.462890625,8.36161534756556,1,1,0,0,0,0,0,0,,
36.38737,1178,,,,-0.125,0.095703125,-1.009765625,-0.06744056070551227,622.3490289768871,23.406002044677734,8.7890625,0,82.10028801408,205.7168148458004,0,0,0,0,0.3082933835685253,-0.16922364011406898,1.027469988912344,0.45703125,8.363081918575883,1,1,0,0,0,0,0,0,,
36.397375,1178,,,,0.03125,-0.1171875,-0.986328125,-0.06719458746404437,622.3490289768871,23.394668579101562,8.806965827941895,0,80.73893119751999,206.03604673217342,0,0,0,0,0.3082933835685253,-0.1708371564745903,1.027469988912344,0.458984375,8.364470061279576,1,1,0,0,0,0,0,0,,
36.41185499999998,1178,,,,0.5,0.03515625,-0.98828125,,,23.41200065612793,8.7890625,0,80.32005217704,205.76953701674938,,0,,,,,,0.458984375,8.366424373297466,1,1,0,0,0,0,0,0,,
