vel_IC,phi_IC,d_ceiling,My,k_run,vx,vz,RREV_trig,OFy_trig,impact_eul,landing_success
1.0,30.0,0.2,-7.75,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-8.0,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-8.25,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-8.5,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-8.75,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-9.0,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-9.25,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-9.5,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.2,-9.75,2,0.87,0.5,2.5,-4.35,,0.0
1.0,30.0,0.15,-3.0,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-3.25,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-3.5,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-3.75,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-4.0,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-4.25,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-4.5,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-4.75,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-5.0,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-5.25,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-5.5,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-5.75,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-6.0,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-6.25,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-6.5,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-6.75,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-7.0,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-7.25,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-7.5,2,0.87,0.5,3.3333,-5.8,,0.0
1.0,30.0,0.15,-7.75,2,0.87,0.5,3.3333,-5.8,,0.5
1.0,30.0,0.15,-8.0,2,0.87,0.5,3.3333,-5.8,,1.0
1.0,30.0,0.15,-8.25,2,0.87,0.5,3.3333,-5.8,,0.5
1.0,30.0,0.15,-8.5,2,0.87,0.5,3.3333,-5.8,284.4801,0.5
1.0,30.0,0.15,-8.75,2,0.87,0.5,3.3333,-5.8,282.8403,0.5
1.0,30.0,0.15,-9.0,2,0.87,0.5,3.3333,-5.8,277.8795,0.5
1.0,30.0,0.15,-9.25,2,0.87,0.5,3.3333,-5.8,,0.5
1.0,30.0,0.15,-9.5,2,0.87,0.5,3.3333,-5.8,,0.5
1.0,30.0,0.15,-9.75,2,0.87,0.5,3.3333,-5.8,,0.5
1.0,30.0,0.1,-3.0,2,0.87,0.5,5.0,-8.7,,0.0
1.0,30.0,0.1,-3.25,2,0.87,0.5,5.0,-8.7,,0.0
1.0,30.0,0.1,-3.5,2,0.87,0.5,5.0,-8.7,,0.0
1.0,30.0,0.1,-3.75,2,0.87,0.5,5.0,-8.7,,0.0
1.0,30.0,0.1,-4.0,2,0.87,0.5,5.0,-8.7,,0.0
1.0,30.0,0.1,-4.25,2,0.87,0.5,5.0,-8.7,203.106,0.0
1.0,30.0,0.1,-4.5,2,0.87,0.5,5.0,-8.7,199.3449,0.0
1.0,30.0,0.1,-4.75,2,0.87,0.5,5.0,-8.7,195.9906,0.0
1.0,30.0,0.1,-5.0,2,0.87,0.5,5.0,-8.7,196.4875,0.0
1.0,30.0,0.1,-5.25,2,0.87,0.5,5.0,-8.7,195.0947,0.0
1.0,30.0,0.1,-5.5,2,0.87,0.5,5.0,-8.7,196.1831,0.0
1.0,30.0,0.1,-5.75,2,0.87,0.5,5.0,-8.7,197.0632,0.0
1.0,30.0,0.1,-6.0,2,0.87,0.5,5.0,-8.7,196.9844,0.0
