vel_d,phi_d,LR_4Leg,LR_2Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
1.8,56.25,0.95,0.05,0.2039,-3.3679,0.2733,-7.7966,1.2676,0.9775,0.0481,0.8101,0.0656,0.1533,0.303,0.2309,[3.059 4.352],[2.261 1.133]
1.8,63.75,0.4,0.45,0.1595,-1.9933,0.2319,-7.8996,1.0906,0.6195,0.0921,1.1524,0.134,0.0627,0.6309,0.3577,[4.397 7.546],[0.726 2.78 ]
1.8,71.25,0.65,0.35,0.2148,-1.7698,0.3353,-7.806,1.558,0.5978,0.0027,0.0464,0.0053,0.1584,0.0303,0.0112,[4.234 5.017],[0.829 1.037]
1.8,75.0,0.75,0.15,0.1304,-0.862,0.2007,-7.7381,0.9243,0.2892,0.1065,0.7046,0.1639,0.1364,0.7551,0.2363,[5.667 5.605],[0.784 0.718]
1.8,78.75,0.65,0.25,0.186,-0.8596,0.3001,-7.6042,1.3667,0.3072,0.0793,0.3683,0.1284,0.2144,0.5849,0.1311,[4.129 5.779],[1.176 1.346]
1.8,82.5,0.7,0.3,0.2054,-0.5981,0.3401,-7.6418,1.5393,0.2201,0.0571,0.1681,0.0953,0.3008,0.4288,0.0615,[4.368 5.478],[1.109 1.054]
1.8,86.25,0.95,0.05,0.1647,-0.2409,0.2707,-7.5929,1.2124,0.0892,0.0985,0.1449,0.1626,0.3669,0.727,0.0534,[4.547 5.607],[0.531 0.728]
1.8,90.0,0.9,0.0,0.2127,-0.0021,0.3554,-7.8188,1.5803,0.0007,0.0517,0.006,0.0867,0.1067,0.3854,0.0033,[3.834 5.252],[2.161 0.678]
1.9,30.0,0.8,0.0,0.2101,-9.3532,0.1579,-7.9091,0.7155,1.5783,0.0547,2.5037,0.042,0.0807,0.1935,0.4083,[2.314 4.928],[2.889 1.137]
1.9,33.75,0.8,0.05,0.2036,-7.9192,0.1794,-7.9099,0.8358,1.5162,0.0527,2.1338,0.0482,0.0651,0.2234,0.3919,[4.597 4.617],[0.681 1.017]
1.9,37.5,0.6,0.05,0.1794,-7.4168,0.3787,-7.9477,-5.0523,-0.2425,0.0787,2.8505,0.6374,0.0417,19.6714,5.5001,[4.269 5.222],[1.234 2.05 ]
1.9,41.25,1.0,0.0,0.1821,-5.3523,0.1972,-7.884,0.9219,1.2456,0.0765,2.2672,0.0833,0.105,0.3896,0.5234,[4.095 4.406],[1.151 1.391]
1.9,45.0,0.8,0.0,0.2127,-5.57,0.2478,-7.8839,1.1682,1.383,0.0027,0.3309,0.0135,0.0752,0.0605,0.022,[4.69  5.221],[0.341 0.767]
1.9,48.75,0.85,0.0,0.1881,-4.2495,0.2373,-7.9017,1.1128,1.1463,0.0687,1.577,0.0878,0.1452,0.4094,0.4188,[4.323 6.39 ],[1.163 2.044]
1.9,56.25,0.85,0.0,0.1637,-2.7415,0.2305,-7.8454,1.0788,0.8284,0.0909,1.5307,0.1287,0.1203,0.601,0.4596,[4.995 5.268],[0.549 0.978]
1.9,60.0,0.5,0.35,0.2135,-3.1264,0.3136,-7.8065,1.4646,0.984,0.0026,0.0949,0.0084,0.1166,0.0395,0.01,[3.869 4.782],[1.349 1.451]
1.9,63.75,0.7,0.15,0.1976,-2.4429,0.3035,-7.8454,1.4259,0.8019,0.0549,0.6852,0.0849,0.1329,0.3989,0.2229,[3.466 4.376],[1.6   0.816]
1.9,67.5,0.75,0.15,0.2,-4.0605,0.4651,-7.7887,1.4629,0.5897,0.0535,7.0438,0.4651,0.1775,0.4845,0.5856,[4.605 4.41 ],[0.888 2.098]
1.9,71.25,0.9,0.1,0.198,-3.5411,0.4405,-7.69,1.0033,0.3687,0.0502,7.598,0.475,0.3749,2.2258,0.9391,[4.715 4.089],[0.765 1.149]
1.9,75.0,0.8,0.1,0.1888,-1.2121,0.3164,-7.7812,1.4697,0.4406,0.0714,0.4609,0.1203,0.1445,0.5577,0.1668,[3.794 3.786],[1.982 1.472]
1.9,78.75,1.0,0.0,0.2176,-1.004,0.3774,-7.6973,1.7386,0.3827,0.0027,0.0302,0.0092,0.2293,0.0335,0.0078,[4.406 5.461],[0.906 1.646]
1.9,82.5,0.95,0.05,0.2108,-0.6156,0.3703,-7.2934,1.6657,0.2443,0.0498,0.1466,0.0878,0.5499,0.3952,0.058,[4.348 6.34 ],[0.657 1.521]
1.9,90.0,0.8,0.05,0.1955,0.0017,0.3471,-7.7657,1.5447,-0.0009,0.0767,0.008,0.1369,0.1491,0.6086,0.0054,[5.252 4.471],[0.5   0.883]
2.0,37.5,0.9,0.0,0.1904,-6.5718,0.1956,-7.8972,0.9201,1.4468,0.0674,2.3643,0.0702,0.1048,0.33,0.5119,[4.181 6.264],[1.26  1.491]
2.0,45.0,0.95,0.05,0.1892,-4.8489,0.2395,-7.8929,1.1359,1.3035,0.0649,1.6861,0.0831,0.0678,0.3934,0.4475,[5.103 4.647],[0.178 1.774]
2.0,48.75,1.0,0.0,0.1908,-4.2446,0.2582,-7.9146,1.2244,1.2222,0.0637,1.4314,0.0869,0.0711,0.4112,0.4077,[5.02  4.392],[0.623 0.809]
2.0,52.5,0.85,0.0,0.2024,-3.8225,0.2891,-7.9324,1.3477,1.1795,0.0507,0.9725,0.0733,0.0495,0.3413,0.2955,[4.438 4.791],[0.783 1.094]
2.0,56.25,1.0,0.0,0.1912,-3.2428,0.2843,-7.8629,1.3456,1.0261,0.0638,1.0919,0.0955,0.0974,0.4509,0.3424,[3.852 4.719],[1.468 1.689]
2.0,60.0,0.7,0.15,0.2023,-3.6928,0.4674,-7.8762,1.6579,0.2466,0.0327,2.0782,0.4938,0.0733,0.3354,2.848,[3.958 6.847],[1.05 2.11]
2.0,63.75,0.95,0.0,0.2012,-2.4813,0.3267,-7.7853,1.5427,0.8592,0.0475,0.5903,0.0778,0.2701,0.3664,0.2031,[3.852 6.574],[1.229 2.209]
2.0,67.5,0.9,0.1,0.1772,-1.8127,0.3006,-7.7244,1.4208,0.6572,0.0793,0.8129,0.1347,0.2033,0.6363,0.294,[3.158 3.696],[2.583 1.53 ]
2.0,71.25,0.8,0.1,0.1739,-1.4408,0.3026,-7.4773,1.4175,0.539,0.0836,0.6939,0.1456,0.374,0.6819,0.2591,[5.192 5.316],[0.402 2.116]
2.0,75.0,0.9,0.1,0.1927,-1.2097,0.3438,-7.6303,1.5907,0.4705,0.0682,0.4284,0.1217,0.2122,0.5634,0.1665,[3.202 4.117],[1.841 1.517]
