vel_d,phi_d,LR_4Leg,LR_2Leg,Tau_flip_mean,OFy_flip_mean,D_ceil_flip_mean,My_mean,vz_flip_mean,vx_flip_mean,Tau_flip_std,OFy_flip_std,D_ceil_flip_std,My_std,vz_flip_std,vx_flip_std,mu,sigma
3.4,56.25,1.0,0.0,0.1836,-3.1868,0.4908,-7.918,2.417,1.7373,0.0613,1.066,0.164,0.0649,0.8062,0.5794,[4.12  6.744],[1.509 2.21 ]
3.4,60.0,0.95,0.0,0.1823,-2.718,0.5093,-7.9178,2.5035,1.5482,0.0627,0.9358,0.1754,0.0655,0.8596,0.5313,[4.575 5.809],[1.098 1.626]
3.4,67.5,1.0,0.0,0.1951,-2.0534,0.5838,-7.7648,2.8463,1.2621,0.0448,0.4737,0.1344,0.1731,0.6536,0.2899,[5.108 4.985],[0.468 0.488]
3.4,71.25,1.0,0.0,0.1965,-1.6622,0.604,-7.6935,2.9242,1.0574,0.0452,0.3831,0.1392,0.2421,0.6716,0.2428,[4.25  5.592],[1.158 1.324]
3.4,75.0,0.95,0.0,0.1657,-1.0721,0.5207,-7.4268,2.4823,0.7092,0.0856,0.5542,0.269,0.5235,1.2825,0.3663,[3.368 4.931],[1.982 1.683]
3.4,78.75,1.0,0.0,0.17,-0.7949,0.5397,-7.2946,2.5446,0.5367,0.085,0.3979,0.2701,0.4575,1.2729,0.2684,[4.034 5.191],[1.546 2.542]
3.4,82.5,0.95,0.0,0.1569,-0.4868,0.5044,-7.4735,2.372,0.3352,0.0938,0.2914,0.3018,0.3927,1.4181,0.2004,[3.849 5.119],[1.473 1.693]
3.4,86.25,0.9,0.05,0.2152,-0.3213,0.7006,-7.433,3.2584,0.2258,0.0023,0.0078,0.0127,0.3156,0.0427,0.0026,[4.42  4.522],[1.226 1.29 ]
3.4,90.0,0.8,0.15,0.2006,0.0028,0.6559,-7.6385,3.0671,-0.0024,0.0518,0.0056,0.1695,0.3366,0.7923,0.0049,[3.059 3.722],[2.324 1.575]
3.5,30.0,0.95,0.0,0.201,-8.846,0.3131,-7.9243,1.4907,2.9271,0.0475,2.1125,0.0747,0.0614,0.3548,0.6904,[2.842 5.592],[2.782 1.416]
3.5,33.75,1.0,0.0,0.1972,-7.6727,0.3472,-7.9422,1.6907,2.8042,0.0455,1.7852,0.0807,0.0758,0.3903,0.6437,[5.173 3.716],[0.983 1.46 ]
3.5,37.5,1.0,0.0,0.1868,-6.3093,0.3616,-7.9101,1.7556,2.5339,0.0623,2.1141,0.1211,0.0918,0.5873,0.8448,[4.753 4.452],[0.763 1.906]
3.5,41.25,0.9,0.0,0.1852,-5.3834,0.3921,-7.7884,1.8917,2.3753,0.0655,1.9108,0.1392,0.1787,0.6705,0.84,[4.635 6.746],[1.154 1.987]
3.5,45.0,1.0,0.0,0.1937,-5.0954,0.4464,-7.9172,2.2024,2.3916,0.0446,1.1796,0.1031,0.049,0.5068,0.5489,[3.057 4.282],[2.003 0.809]
3.5,48.75,1.0,0.0,0.1933,-4.443,0.4778,-7.9434,2.3591,2.233,0.0445,1.0259,0.1102,0.0375,0.5424,0.5125,[4.644 6.854],[0.74  1.929]
3.5,52.5,1.0,0.0,0.1938,-3.8574,0.5087,-7.9088,2.5027,2.0664,0.0446,0.8905,0.1175,0.0928,0.5753,0.4745,[4.185 3.75 ],[1.138 1.742]
3.5,56.25,1.0,0.0,0.1636,-2.8219,0.449,-7.8942,2.2018,1.5836,0.0818,1.4124,0.2248,0.0885,1.1016,0.792,[4.719 7.177],[0.749 2.684]
3.5,60.0,0.95,0.0,0.1825,-2.727,0.5243,-7.8767,2.5772,1.5972,0.0627,0.9366,0.18,0.0941,0.8847,0.548,[4.49  5.192],[1.445 0.848]
3.5,63.75,1.0,0.0,0.1931,-2.4783,0.5771,-7.8184,2.847,1.504,0.0445,0.5724,0.1331,0.1798,0.6544,0.3452,[3.81  6.391],[1.338 1.686]
3.5,71.25,1.0,0.0,0.1335,-1.1524,0.4205,-7.6869,2.0511,0.7449,0.098,0.8465,0.3088,0.1987,1.5054,0.5467,[4.694 5.718],[0.958 1.901]
3.5,75.0,0.8,0.0,0.1944,-1.2893,0.6295,-7.6079,3.0386,0.8672,0.0504,0.3353,0.1634,0.2427,0.7858,0.2241,[4.4  5.42],[0.674 1.675]
3.5,78.75,0.95,0.0,0.2091,-1.0055,0.6902,-7.4584,3.3059,0.6956,0.0041,0.0271,0.0156,0.3116,0.036,0.0077,[4.01  4.843],[1.56  1.408]
3.5,82.5,1.0,0.0,0.1795,-0.558,0.5986,-7.5877,2.8378,0.3938,0.0755,0.2348,0.2518,0.3051,1.1925,0.1654,[4.831 5.449],[0.565 1.182]
3.5,86.25,0.85,0.05,0.2145,-0.319,0.723,-7.4559,3.3721,0.231,0.0032,0.0083,0.0143,0.3009,0.0458,0.0056,[4.952 5.709],[0.963 2.176]
