Step,Reward,Episode
37177,0.752,3104
37247,0.758,3108
37398,0.767,3116
37467,0.777,3120
37539,0.779,3124
37619,0.777,3128
37689,0.770,3132
37771,0.773,3136
37991,0.781,3148
38131,0.771,3156
38209,0.762,3160
38364,0.744,3168
38519,0.744,3176
38674,0.739,3184
38753,0.745,3188
38821,0.757,3192
38967,0.761,3200
39046,0.756,3204
39343,0.749,3220
39413,0.749,3224
39484,0.749,3228
39566,0.748,3232
39862,0.717,3244
39939,0.704,3248
40084,0.713,3256
40464,0.730,3276
40531,0.740,3280
40702,0.754,3288
40773,0.747,3292
40861,0.736,3296
41002,0.738,3304
41080,0.746,3308
41158,0.739,3312
41241,0.739,3316
41397,0.728,3324
41532,0.739,3332
41607,0.756,3336
41766,0.779,3344
41838,0.784,3348
41910,0.777,3352
42131,0.736,3360
42210,0.730,3364
42353,0.730,3372
42424,0.720,3376
42575,0.692,3384
42933,0.703,3404
43005,0.701,3408
43228,0.708,3420
43401,0.698,3428
43472,0.696,3432
43696,0.684,3444
43763,0.691,3448
43828,0.694,3452
44035,0.748,3464
44112,0.764,3468
44261,0.770,3476
44404,0.788,3484
44487,0.789,3488
45127,0.802,3524
45196,0.821,3528
45266,0.828,3532
45334,0.841,3536
45405,0.848,3540
45473,0.859,3544
45543,0.855,3548
45610,0.859,3552
45680,0.851,3556
45822,0.866,3564
45960,0.869,3572
46167,0.851,3584
46306,0.842,3592
46375,0.852,3596
46603,0.829,3608
46689,0.832,3612
46836,0.837,3620
47006,0.820,3628
47075,0.809,3632
47152,0.806,3636
47278,0.783,3644
47345,0.788,3648
47487,0.788,3656
47563,0.788,3660
47709,0.783,3668
47785,0.775,3672
47856,0.772,3676
47926,0.781,3680
48009,0.781,3684
48078,0.783,3688
48227,0.781,3696
48507,0.808,3712
48574,0.809,3716
48639,0.807,3720
48711,0.825,3724
48783,0.823,3728
48853,0.834,3732
48919,0.838,3736
48988,0.845,3740
49058,0.841,3744
49338,0.829,3760
49475,0.818,3768
49555,0.825,3772
49767,0.838,3784
50035,0.824,3800
50104,0.819,3804
50238,0.827,3812
50374,0.824,3820
50444,0.817,3824
50514,0.813,3828
50722,0.791,3840
50791,0.797,3844
50862,0.789,3848
50930,0.787,3852
50999,0.794,3856
51072,0.789,3860
51139,0.790,3864
51282,0.790,3872
51355,0.782,3876
51557,0.794,3888
51910,0.814,3908
52046,0.809,3916
52116,0.804,3920
52260,0.819,3928
52328,0.816,3932
52403,0.810,3936
52617,0.831,3948
52686,0.838,3952
52746,0.829,3956
52814,0.825,3960
52885,0.842,3964
53015,0.841,3972
53152,0.850,3980
53219,0.852,3984
53287,0.843,3988
53426,0.839,3996
53497,0.837,4000
53639,0.828,4008
53706,0.828,4012
53774,0.833,4016
53841,0.839,4020
53911,0.837,4024
53979,0.831,4028
54342,0.846,4048
54485,0.843,4056
54622,0.852,4064
54688,0.845,4068
54760,0.846,4072
54965,0.852,4084
55109,0.869,4092
55392,0.876,4108
55539,0.877,4116
55605,0.875,4120
55745,0.877,4128
56027,0.875,4144
56097,0.869,4148
56175,0.865,4152
56242,0.861,4156
56315,0.852,4160
56596,0.859,4176
56730,0.859,4184
56794,0.859,4188
57017,0.849,4200
57229,0.851,4212
57296,0.841,4216
57505,0.838,4228
57650,0.838,4236
57727,0.828,4240
57801,0.832,4244
57938,0.843,4252
58151,0.839,4264
58224,0.838,4268
58295,0.831,4272
58446,0.819,4280
58513,0.799,4284
58581,0.788,4288
58656,0.782,4292
58724,0.782,4296
58790,0.780,4300
59001,0.779,4312
59064,0.787,4316
59212,0.792,4324
59290,0.793,4328
59360,0.783,4332
59569,0.790,4344
59636,0.795,4348
59705,0.790,4352
59982,0.800,4368
60052,0.805,4372
60123,0.805,4376
60461,0.831,4396
60599,0.838,4404
60740,0.830,4412
60808,0.825,4416
60878,0.825,4420
61086,0.828,4432
61164,0.829,4436
61231,0.814,4440
61309,0.819,4444
61372,0.824,4448
61442,0.832,4452
61510,0.834,4456
61580,0.834,4460
61719,0.836,4468
61924,0.836,4480
62004,0.841,4484
62074,0.853,4488
62150,0.846,4492
62368,0.838,4504
62435,0.843,4508
62573,0.856,4516
62648,0.853,4520
62721,0.856,4524
62789,0.858,4528
62854,0.861,4532
62995,0.874,4540
63070,0.874,4544
63139,0.869,4548
63210,0.868,4552
63344,0.864,4560
63554,0.864,4572
63773,0.874,4584
63847,0.871,4588
63987,0.870,4596
64054,0.870,4600
64128,0.865,4604
64197,0.865,4608
64266,0.865,4612
64334,0.864,4616
64479,0.867,4624
64764,0.859,4640
64837,0.854,4644
64979,0.852,4652
65111,0.849,4660
65242,0.843,4668
65320,0.850,4672
65658,0.859,4692
65725,0.852,4696
65791,0.857,4700
65914,0.854,4708
65981,0.852,4712
66050,0.855,4716
66320,0.859,4732
66455,0.861,4740
66606,0.865,4748
66745,0.867,4756
66814,0.872,4760
66887,0.873,4764
67101,0.880,4776
67175,0.884,4780
67249,0.890,4784
67322,0.892,4788
67392,0.890,4792
67465,0.889,4796
67671,0.896,4808
67742,0.903,4812
67942,0.901,4824
68016,0.893,4828
68094,0.890,4832
68234,0.891,4840
68303,0.894,4844
68516,0.895,4856
68590,0.893,4860
68661,0.893,4864
68803,0.878,4872
68872,0.876,4876
69078,0.868,4888
69151,0.870,4892
69222,0.882,4896
69360,0.875,4904
69571,0.855,4916
69641,0.856,4920
69861,0.866,4932
69930,0.855,4936
69999,0.860,4940
70277,0.841,4956
70428,0.841,4964
70500,0.846,4968
70566,0.843,4972
70638,0.843,4976
70706,0.844,4980
70775,0.848,4984
70840,0.848,4988
71045,0.834,5000
71115,0.836,5004
71193,0.828,5008
71266,0.827,5012
71414,0.836,5020
71548,0.835,5028
71613,0.835,5032
71825,0.833,5044
71895,0.844,5048
72100,0.846,5060
72172,0.846,5064
72308,0.847,5072
72377,0.849,5076
72578,0.841,5088
72925,0.855,5108
72992,0.865,5112
73061,0.858,5116
73205,0.841,5124
73338,0.838,5132
73402,0.834,5136
73546,0.827,5144
73625,0.819,5148
73758,0.820,5156
73896,0.817,5164
73966,0.819,5168
74030,0.821,5172
74096,0.822,5176
74310,0.829,5188
74464,0.823,5196
74537,0.819,5200
74674,0.820,5208
74740,0.818,5212
74876,0.832,5220
75017,0.856,5228
75304,0.860,5244
75520,0.861,5256
75591,0.861,5260
75658,0.864,5264
76001,0.849,5284
76136,0.860,5292
76199,0.863,5296
76269,0.872,5300
76334,0.873,5304
76404,0.876,5308
76547,0.863,5316
77054,0.843,5344
77482,0.827,5368
77692,0.833,5380
77759,0.836,5384
77906,0.832,5392
77978,0.834,5396
78186,0.826,5408
78255,0.831,5412
78406,0.823,5420
78472,0.821,5424
78541,0.831,5428
78614,0.834,5432
78689,0.825,5436
78829,0.840,5444
79092,0.849,5460
79165,0.849,5464
79236,0.862,5468
79333,0.851,5472
79397,0.856,5476
79671,0.845,5492
79738,0.842,5496
79868,0.844,5504
79936,0.844,5508
80234,0.843,5524
80305,0.836,5528
80592,0.836,5544
80666,0.836,5548
80737,0.829,5552
