vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
4.0,20.0,2,3.76,1.37,[2.75 7.29],[2. 2.],4.99,0.0,8.2,0.0,1.0,0.0,5.1474,0.069,26.3957,0.8462,-14.1209,0.1906,1.8346,0.0044,0.2654,1.363,0.0,11.123,2.3923,10.709,2.2749,1.9952,1.6286,0.319,0.3239,131.2646,41.3433,-0.944,1.3733
4.0,20.0,3,3.76,1.37,[5.9  3.34],[2. 2.],5.51,0.07,4.28,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,20.0,4,3.76,1.37,[4.26 6.45],[2. 2.],4.92,0.0,9.36,0.0,1.0,0.0,5.0357,0.0711,24.6541,1.4464,-13.8134,0.1932,1.8251,0.0082,0.2749,1.363,0.0,12.118,1.9343,12.7047,3.8799,2.7406,1.2256,0.5716,0.2933,113.4231,30.7052,-0.2995,1.0491
4.0,22.5,0,3.7,1.53,[6.75 4.57],[2. 2.],5.72,0.0,3.42,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
4.0,22.5,1,3.7,1.53,[3.6  4.89],[2. 2.],5.44,0.01,4.95,0.0,0.3333,0.0,5.4741,0.03,29.9617,0.3416,-13.19,0.0746,1.8212,0.0016,0.2788,1.526,0.0,9.262,3.1131,18.6409,8.0359,3.0916,1.0233,0.4166,0.239,82.7274,36.5164,-0.0956,0.8573
4.0,22.5,2,3.7,1.53,[4.34 3.5 ],[2. 2.],5.04,0.01,6.85,0.04,1.0,0.0,5.1822,0.0633,26.5722,0.646,-12.4857,0.1526,1.8039,0.0036,0.2961,1.526,0.0,11.1413,2.1503,12.1075,1.908,2.7327,1.2222,0.4006,0.2213,118.3918,28.7901,-0.2782,1.0612
4.0,22.5,3,3.7,1.53,[4.65 6.  ],[2. 2.],5.06,0.05,7.82,0.01,1.0,0.0,5.156,0.074,26.1027,1.5074,-12.424,0.1796,1.8009,0.0088,0.2991,1.526,0.0,12.5934,2.1133,12.2539,2.2552,2.8312,1.1102,0.5715,0.2602,112.4333,28.0625,-0.197,0.9664
4.0,22.5,4,3.7,1.53,[5.17 4.89],[2. 2.],4.99,0.0,8.76,0.26,1.0,0.0,5.1528,0.072,26.384,0.8322,-12.4144,0.1758,1.8028,0.0047,0.2972,1.526,0.0,12.7855,1.8097,12.1785,2.2256,2.5799,1.2895,0.6159,0.3474,115.8693,32.8525,-0.3906,1.1293
4.0,25.0,0,3.63,1.69,[3.21 7.98],[2. 2.],5.18,0.08,6.62,0.22,1.0,0.0,5.2733,0.1107,27.2059,1.5974,-11.2827,0.2382,1.7763,0.0097,0.3237,1.686,0.0,11.8402,4.0018,12.8793,8.3171,2.1638,1.5305,0.4425,0.3876,125.0013,41.9642,-0.766,1.3534
4.0,25.0,1,3.63,1.69,[7.1  5.28],[2. 2.],5.15,0.0,8.2,0.06,1.0,0.0,5.2643,0.0807,26.5379,1.2755,-11.2661,0.17,1.7724,0.0079,0.3276,1.686,0.0,11.5269,2.3035,11.3881,4.7099,1.9767,1.5453,0.5426,0.4891,128.7845,41.6818,-0.9005,1.3752
4.0,25.0,2,3.63,1.69,[5.47 5.1 ],[2. 2.],5.28,0.0,4.28,0.0,0.1333,0.0,5.529,0.0228,29.3545,1.5189,-11.8332,0.042,1.7885,0.0081,0.3115,1.686,0.0,16.215,1.9819,32.3155,1.0474,3.423,0.0108,0.5895,0.0376,60.1862,3.3099,0.1905,0.0033
4.0,25.0,3,3.63,1.69,[6.6 5.6],[2. 2.],5.11,0.0,6.02,0.11,0.9667,0.0,5.2782,0.0877,26.0193,0.8241,-11.2937,0.1849,1.7693,0.0053,0.3307,1.686,0.0,11.259,1.9504,11.0694,2.2012,2.2341,1.4987,0.3537,0.2948,127.1598,36.8955,-0.6796,1.3177
4.0,25.0,4,3.63,1.69,[5.24 6.22],[2. 2.],4.85,0.01,8.5,0.06,1.0,0.0,5.001,0.0726,23.8045,0.6671,-10.6981,0.1544,1.7543,0.0049,0.3457,1.686,0.0,10.9295,2.8148,16.5858,1.5949,2.8385,0.9464,0.7493,0.2799,118.0997,22.5447,-0.097,0.8479
4.0,27.5,0,3.55,1.85,[5.96 6.16],[2. 2.],5.08,0.01,8.03,0.05,1.0,0.0,5.1905,0.0775,25.6342,1.4396,-9.9439,0.1499,1.7358,0.01,0.3642,1.842,0.0,13.1795,1.7054,13.3667,2.9055,2.5895,1.1584,0.8324,0.4074,114.5717,30.1217,-0.2899,1.0546
4.0,27.5,1,3.55,1.85,[4.46 5.12],[2. 2.],4.93,0.0,7.21,0.04,1.0,0.0,5.0753,0.0732,24.363,1.1776,-9.7249,0.1417,1.7265,0.0087,0.3735,1.842,0.0,11.9745,2.4964,16.0492,1.6398,2.9052,0.7767,0.7544,0.2326,117.9874,18.0623,0.0081,0.7076
4.0,27.5,2,3.55,1.85,[7.45 3.99],[2. 2.],4.83,0.04,7.71,0.0,0.9667,0.0,4.9734,0.0933,23.4472,1.3447,-9.5267,0.1783,1.7191,0.0107,0.3809,1.842,0.0,9.3656,3.3553,17.5235,3.1171,2.3645,1.3339,0.5893,0.392,138.4489,29.4175,-0.4782,1.2063
4.0,27.5,3,3.55,1.85,[6.9  6.84],[2. 2.],5.08,0.0,6.01,0.27,1.0,0.0,5.203,0.0802,26.8003,0.8111,-9.9674,0.1568,1.7441,0.0054,0.3559,1.842,0.0,11.9432,2.1654,12.291,2.7523,2.4155,1.3326,0.5382,0.349,122.7839,32.8684,-0.4654,1.2109
4.0,27.5,4,3.55,1.85,[4.63 4.86],[2. 2.],5.03,0.01,5.96,0.11,1.0,0.0,5.1695,0.1013,25.9117,1.0083,-9.904,0.1918,1.7379,0.0071,0.3621,1.842,0.0,9.6207,2.8747,11.8204,2.1089,1.7911,1.5659,0.3072,0.3421,142.0358,35.1807,-1.0207,1.4124
4.0,30.0,0,3.46,2.0,[6.15 4.74],[2. 2.],5.24,0.0,4.15,0.0,0.9333,0.0333,5.3756,0.0847,27.4983,1.3657,-9.2861,0.1477,1.7192,0.0092,0.3808,1.995,0.0,9.7897,2.8624,12.7489,5.7254,2.7336,1.1169,0.469,0.3085,101.6244,38.2336,-0.1863,1.0035
4.0,30.0,1,3.46,2.0,[7.21 4.65],[2. 2.],5.28,0.0,6.44,0.11,1.0,0.0,5.4237,0.0624,27.2897,0.6151,-9.3695,0.1091,1.718,0.0043,0.382,1.995,0.0,11.4534,3.6537,14.3695,9.93,1.5729,1.5727,0.4998,0.5794,130.1268,51.651,-1.2428,1.4243
4.0,30.0,2,3.46,2.0,[6.26 4.09],[2. 2.],5.19,0.01,8.92,0.02,1.0,0.0,5.3199,0.0816,26.31,0.7731,-9.1868,0.1409,1.7109,0.0057,0.3891,1.995,0.0,13.8932,2.2606,16.1127,5.597,2.7066,0.9024,1.1662,0.4145,105.7408,25.6822,-0.1103,0.845
4.0,30.0,3,3.46,2.0,[7. 6.],[2. 2.],5.07,0.0,5.92,0.0,1.0,0.0,5.1761,0.0739,25.5801,1.4206,-8.9386,0.1296,1.7051,0.0108,0.3949,1.995,0.0,12.3977,2.1873,12.3035,2.9755,1.9515,1.4846,0.4812,0.4193,134.4272,35.4476,-0.8495,1.3902
4.0,30.0,4,3.46,2.0,[4.14 4.59],[2. 2.],5.16,0.0,4.71,0.02,1.0,0.0,5.2833,0.0701,27.9044,0.75,-9.126,0.1189,1.7222,0.005,0.3778,1.995,0.0,11.0449,1.9981,10.4873,2.3537,2.6182,1.1709,0.5089,0.2959,110.6355,34.4802,-0.2565,1.0662
4.0,32.5,0,3.37,2.15,[4.29 4.6 ],[2. 2.],4.86,0.01,5.9,0.0,1.0,0.0,4.9947,0.0691,24.2097,0.6703,-7.8147,0.1097,1.6641,0.006,0.4359,2.144,0.0,10.2473,3.1447,15.7888,2.4512,2.5865,1.0147,0.7116,0.3121,128.0765,21.7865,-0.1649,0.9815
4.0,32.5,1,3.37,2.15,[4.25 4.56],[2. 2.],4.81,0.01,7.79,0.19,1.0,0.0,4.9171,0.0628,22.6798,0.8053,-7.6946,0.0986,1.6496,0.0076,0.4504,2.144,0.0,8.6337,2.597,19.2606,3.5138,2.9431,0.0167,1.0872,0.0628,126.7388,8.0245,0.2036,0.0061
4.0,32.5,2,3.37,2.15,[5.72 5.7 ],[2. 2.],5.72,0.0,8.82,0.0,0.8333,0.0667,5.836,0.0896,31.8507,1.9743,-9.1348,0.14,1.7196,0.0113,0.3804,2.1441,0.0003,16.6976,5.8807,30.1412,7.4231,2.8506,0.8408,1.5691,0.4818,68.8712,33.7833,-0.0842,0.7639
4.0,32.5,3,3.37,2.15,[6.75 6.25],[2. 2.],5.07,0.0,5.2,0.01,1.0,0.0,5.2125,0.0832,27.0715,0.968,-8.1545,0.1326,1.6877,0.0074,0.4123,2.144,0.0,10.7838,1.846,9.9422,2.4144,1.7087,1.4937,0.4438,0.4553,136.1531,39.8479,-1.0332,1.4283
4.0,32.5,4,3.37,2.15,[6.9  7.06],[2. 2.],4.81,0.0,6.64,0.01,0.9667,0.0,4.9316,0.0739,22.7983,0.6699,-7.7156,0.1156,1.6508,0.0066,0.4492,2.144,0.0,9.1896,3.2463,17.7641,2.0361,2.7703,0.7686,0.8509,0.2634,129.6675,16.6675,0.0086,0.7445
4.0,34.9,0,3.28,2.29,[5.25 3.18],[2. 2.],4.73,0.0,4.6,0.05,0.5667,0.0,4.8952,0.0648,23.9796,0.6282,-6.9648,0.0901,1.6323,0.0062,0.4677,2.2897,0.0005,6.6906,1.9136,18.1001,9.3909,2.4164,1.1187,0.3788,0.2782,146.3663,24.677,-0.246,1.1048
4.0,34.9,1,3.28,2.29,[2.95 6.03],[2. 2.],4.74,0.0,7.75,0.0,1.0,0.0,4.823,0.0622,22.3919,0.5758,-6.8628,0.0905,1.616,0.0061,0.484,2.2897,0.0004,8.3851,2.7391,24.5751,7.3101,2.835,0.0238,1.1448,0.0788,140.3284,10.2992,0.2132,0.0079
4.0,34.9,2,3.28,2.29,[6.47 4.12],[2. 2.],4.84,0.0,5.58,0.0,1.0,0.0,4.944,0.076,22.8374,0.6897,-7.0349,0.1068,1.6207,0.0071,0.4793,2.2897,0.0004,10.0336,3.2854,16.3377,2.0717,2.4149,1.0801,0.7233,0.3613,132.6185,23.3001,-0.2462,1.0607
4.0,34.9,3,3.28,2.29,[5.62 4.62],[2. 2.],4.96,0.0,4.86,0.05,1.0,0.0,5.1085,0.0782,26.1217,0.8037,-7.2685,0.1091,1.6518,0.007,0.4482,2.2899,0.0003,11.5702,2.0336,11.0313,3.0653,1.8573,1.4126,0.5121,0.4435,135.1045,35.1044,-0.8295,1.39
4.0,34.9,4,3.28,2.29,[4.57 5.81],[2. 2.],5.01,0.0,3.78,0.0,1.0,0.0,5.1478,0.0662,26.5164,0.6751,-7.326,0.0962,1.6552,0.0057,0.4448,2.2899,0.0003,10.1171,2.0362,9.9318,2.1355,2.6734,0.8912,0.4922,0.2305,112.2396,25.8432,-0.0405,0.8766
4.0,37.6,0,3.17,2.44,[5.6  4.39],[2. 2.],5.04,0.0,3.96,0.55,0.9667,0.0,5.2088,0.0686,27.1339,0.7134,-6.7624,0.0913,1.6334,0.0062,0.4666,2.43,0.0,8.9022,1.8696,10.0718,4.948,1.7935,1.4012,0.6147,0.5466,120.9907,47.373,-0.8634,1.3861
4.0,37.6,1,3.17,2.44,[3.03 5.28],[2. 2.],4.87,0.01,5.14,0.07,1.0,0.0,4.96,0.061,24.6047,0.6112,-6.4386,0.081,1.61,0.006,0.49,2.43,0.0,12.6128,1.5924,15.9861,2.0404,2.6204,0.7004,0.9074,0.2694,120.8662,17.4092,0.0356,0.7281
4.0,37.6,2,3.17,2.44,[2.69 6.96],[2. 2.],4.91,0.02,7.55,0.01,1.0,0.0,5.03,0.0747,25.2932,0.7472,-6.5289,0.0977,1.6167,0.0071,0.4833,2.43,0.0,13.0126,2.3299,23.8084,5.4157,2.7178,0.0174,1.409,0.049,118.8184,6.2612,0.1976,0.0048
4.0,37.6,3,3.17,2.44,[7.48 3.43],[2. 2.],4.89,0.0,3.56,0.0,1.0,0.0,5.0066,0.0746,23.9812,1.4268,-6.5006,0.0952,1.6031,0.0146,0.4969,2.43,0.0,8.3879,3.0442,10.6594,2.4119,2.0202,1.322,0.2913,0.2548,137.3225,29.8347,-0.5987,1.3364
4.0,37.6,4,3.17,2.44,[2.69 3.96],[2. 2.],5.17,0.09,7.48,0.04,1.0,0.0,5.3022,0.1165,26.1369,1.0944,-6.883,0.1507,1.6244,0.0102,0.4756,2.43,0.0,13.2806,1.8245,14.9039,4.4567,2.7451,0.0131,1.5346,0.0598,101.4815,7.6204,0.1852,0.0051
4.0,40.0,0,3.06,2.57,[3.87 6.17],[2. 2.],5.01,0.01,8.71,0.02,1.0,0.0,5.1446,0.0611,25.4574,1.357,-6.1067,0.0747,1.5909,0.0133,0.5091,2.566,0.0,15.4768,2.0199,25.6868,6.4839,2.4895,0.4623,1.6617,0.3244,117.2936,13.242,0.0935,0.487
