vel_IC,phi_IC,trial_num,LR_4leg,vz_flip_mean,vz_flip_std,vx_flip_mean,vx_flip_std,Tau_flip_mean,Tau_flip_std,OFy_flip_mean,OFy_flip_std,D_ceil_flip_mean,D_ceil_flip_std,My_mean,My_std
2.9,65.0,1,0.6111,2.483,0.0067,1.2609,0.0086,0.2218,0.0027,-2.3937,0.037,0.5452,0.0069,-5.5194,0.0146
2.9,65.0,2,0.1667,2.4908,0.0085,1.2652,0.009,0.2324,0.0018,-2.2994,0.0348,0.5723,0.0049,-7.7559,0.3783
3.0,55.0,0,1.0,2.3112,0.0064,1.7742,0.0091,0.2157,0.0032,-3.7241,0.0646,0.4895,0.0076,-7.7172,0.0019
3.0,55.0,1,0.7222,2.3124,0.008,1.7695,0.0148,0.2272,0.0031,-3.5151,0.0828,0.5167,0.0075,-4.5238,0.1256
3.0,55.0,2,0.6667,2.3058,0.0085,1.7718,0.0116,0.2051,0.0102,-3.9366,0.2046,0.4642,0.0246,-7.0502,0.0446
3.0,57.5,0,0.9444,2.3963,0.0065,1.6672,0.0087,0.2352,0.0027,-3.1124,0.0451,0.5535,0.0064,-4.0239,0.0534
3.0,57.5,1,0.9444,2.3929,0.0085,1.6646,0.0135,0.2322,0.0029,-3.1436,0.0519,0.5464,0.0069,-7.0149,0.0057
3.0,57.5,2,0.6667,2.4067,0.0077,1.6682,0.0094,0.2548,0.003,-2.8771,0.0454,0.6015,0.0073,-2.2542,0.0594
3.0,60.0,0,0.8889,2.4559,0.0053,1.5431,0.0081,0.2264,0.0027,-2.8973,0.0492,0.5486,0.0067,-4.7129,0.1002
3.0,60.0,1,0.7222,2.4576,0.0065,1.5436,0.0093,0.2316,0.0031,-2.8346,0.0509,0.5617,0.0075,-4.1872,0.0194
3.0,60.0,2,0.8333,2.4526,0.0065,1.5431,0.0091,0.2231,0.0015,-2.9395,0.0444,0.5401,0.0037,-6.8049,0.0235
3.0,62.5,0,1.0,2.5181,0.0079,1.4234,0.0099,0.2261,0.0023,-2.6065,0.0308,0.563,0.0061,-6.9417,0.0023
3.0,62.5,1,0.4444,2.5154,0.0086,1.4199,0.0116,0.2242,0.0016,-2.6132,0.0534,0.5585,0.0042,-6.7369,0.0147
3.0,62.5,2,1.0,2.5253,0.0068,1.4286,0.0081,0.2333,0.0024,-2.5404,0.0389,0.5821,0.0063,-6.6214,0.1195
3.0,65.0,0,0.9444,2.6106,0.0077,1.3181,0.0084,0.2631,0.0033,-2.0524,0.0459,0.6763,0.0088,-3.6329,0.0157
3.0,65.0,1,1.0,2.6047,0.0114,1.3144,0.011,0.26,0.0032,-2.0622,0.044,0.6678,0.0085,-3.6264,0.0253
3.0,65.0,2,1.0,2.5911,0.0102,1.3102,0.0109,0.2428,0.002,-2.1977,0.0459,0.6218,0.0052,-5.9127,0.0375
