vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.2,90.0,2,0.0,1.2,[5.07 4.49],[2. 2.],6.95,0.05,3.57,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,22.3,3,1.39,0.57,[4.59 5.01],[2. 2.],6.8,0.0,5.27,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,22.3,4,1.39,0.57,[5.07 4.25],[2. 2.],6.7,0.0,3.29,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,22.3,5,1.39,0.57,[5.52 3.71],[2. 2.],6.96,0.01,4.86,0.22,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,22.3,6,1.39,0.57,[4.39 7.37],[2. 2.],6.94,0.0,3.24,0.15,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,22.3,7,1.39,0.57,[5.73 4.75],[2. 2.],6.89,0.0,4.17,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,30.0,3,1.3,0.75,[3.74 4.01],[2. 2.],6.97,0.0,6.36,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,30.0,4,1.3,0.75,[3.01 7.17],[2. 2.],6.97,0.0,7.37,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,30.0,5,1.3,0.75,[4.91 4.07],[2. 2.],6.98,0.0,5.57,0.17,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,30.0,6,1.3,0.75,[5.64 6.97],[2. 2.],6.97,0.0,6.83,0.51,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,30.0,7,1.3,0.75,[2.76 6.37],[2. 2.],6.95,0.01,6.35,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,37.4,3,1.19,0.91,[3.04 7.21],[2. 2.],6.83,0.0,6.88,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,37.4,4,1.19,0.91,[5.18 4.76],[2. 2.],6.96,0.0,2.83,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,37.4,5,1.19,0.91,[2.79 4.86],[2. 2.],6.97,0.0,4.77,0.52,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,37.4,6,1.19,0.91,[3.74 7.01],[2. 2.],4.34,0.05,9.4,0.0,0.625,0.0,4.4498,0.041,-5.7473,0.0548,1.8913,0.0044,0.908,0.0,1.2341,0.2116,1.5034,0.5756,0.7405,0.077,0.3636,0.0699,96.1191,30.4993,0.171,0.0286
1.5,37.4,7,1.19,0.91,[6.47 6.96],[2. 2.],6.89,0.03,2.69,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1.5,45.0,0,1.06,1.06,[6.19 7.29],[2. 2.],4.76,0.01,7.4,0.08,0.7083,0.0208,4.9045,0.0712,-4.8556,0.0722,1.8825,0.0031,1.056,0.0,0.8298,0.1237,1.0583,1.1938,0.6641,0.1138,0.3033,0.0813,90.7203,28.5117,0.1798,0.0332
