vel_IC,phi_IC,trial_num,vx,vz,mu_0,sigma_0,RREV_threshold,RREV_sig,My_d,My_d_sig,landing_rate_4_leg,landing_rate_2_leg,RREV_flip_mean,RREV_flip_std,dRREV_flip_mean,dRREV_flip_std,OF_y_flip_mean,OF_y_flip_std,flip_height_mean,flip_height_std,flip_d_mean,flip_vz_mean,flip_vz_std,impact_force_x_mean,impact_force_x_std,impact_force_z_mean,impact_force_z_std,impact_vx_mean,impact_vx_std,impact_vz_mean,impact_vz_std,impact_eul_mean,impact_eul_std,t_delta_mean,t_delta_std
1.25,25.0,10,1.13,0.53,[6.58 7.73],[2. 2.],3.83,0.01,7.71,0.07,0.0,0.0,3.9065,0.0476,14.369,0.3346,-8.7243,0.1098,1.9683,0.0015,0.1317,0.499,0.0,2.635,2.222,8.3349,4.0132,0.9716,0.0195,0.088,0.0322,,,0.1223,0.0052
1.25,25.0,11,1.13,0.53,[5.4  7.37],[2. 2.],4.17,0.03,7.29,0.01,0.0,0.0,4.2423,0.0581,17.2532,0.4664,-9.4925,0.1309,1.9798,0.0016,0.1202,0.499,0.0,14.4413,1.873,18.1443,0.8692,1.036,0.0114,0.1579,0.0239,,,0.1042,0.0031
1.25,25.0,20,1.13,0.53,[1.   4.48],[2. 2.],4.13,0.01,6.46,0.11,0.0,0.0,4.2167,0.0573,16.7034,0.4845,-9.4129,0.1346,1.9779,0.0018,0.1221,0.499,0.0,9.0324,2.7775,11.9585,2.9347,1.0139,0.0168,0.0395,0.0425,,,0.1185,0.0059
1.25,25.0,21,1.13,0.53,[2.5  6.05],[2. 2.],3.56,0.01,8.93,0.01,0.4,0.0,3.6247,0.0442,12.6208,0.4681,-8.0901,0.1077,1.9595,0.0026,0.1405,0.499,0.0,0.478,0.2763,4.3694,1.6416,0.7592,0.1397,-0.1584,0.2326,128.7976,32.762,0.1861,0.0467
1.25,25.0,22,1.13,0.53,[4.   3.76],[2. 2.],4.65,0.0,4.8,0.0,0.0,0.0,4.7596,0.0687,21.0615,0.6197,-10.6415,0.1582,1.9912,0.0016,0.1088,0.499,0.0,5.7503,0.9655,5.7503,0.9655,1.0553,0.0059,-0.0774,0.0305,,,0.1187,0.0039
1.25,30.0,10,1.08,0.62,[4.71 4.57],[2. 2.],4.4,0.0,6.67,0.0,0.0,0.0,4.5036,0.0388,20.1344,0.368,-8.051,0.0658,1.9672,0.0012,0.1328,0.596,0.0002,6.4383,1.779,12.6695,1.8911,0.9492,0.0104,0.1235,0.0237,,,0.1223,0.0036
1.25,30.0,11,1.08,0.62,[3.49 4.21],[2. 2.],6.8,0.01,0.81,0.0,0.0,0.0,7.0058,0.1391,49.1818,1.9176,-12.5782,0.2494,2.015,0.0016,0.085,0.596,0.0,,,,,,,,,,,,
1.25,30.0,20,1.08,0.62,[1.   4.02],[2. 2.],4.54,0.0,6.88,0.17,0.0,0.0,4.6396,0.0621,20.2304,0.5144,-8.2968,0.1061,1.9675,0.0017,0.1325,0.596,0.0002,11.6199,2.758,16.7248,2.7873,0.9762,0.011,0.1937,0.0312,,,0.1111,0.0041
1.25,30.0,21,1.08,0.62,[2.5  4.68],[2. 2.],5.12,0.01,4.65,0.03,0.0,0.0,5.254,0.0833,26.7638,1.4813,-9.3948,0.1587,1.9847,0.0032,0.1153,0.596,0.0002,7.592,2.0673,7.592,2.0673,1.0026,0.0143,-0.0041,0.0619,,,0.121,0.0085
1.25,30.0,22,1.08,0.62,[4.   7.95],[2. 2.],4.43,0.0,6.48,0.03,0.0,0.0,4.5303,0.0567,20.4946,0.6331,-8.1019,0.0996,1.9683,0.0021,0.1317,0.596,0.0,5.3095,2.7114,10.0508,3.3655,0.9459,0.0196,0.0842,0.0415,,,0.1267,0.0057
