time,omega
16.793,1540
16.844,1540
16.896,1449.97
16.947,1540
16.998,1540
17.049,1540
17.1,1540
17.152,1510.38
17.203,1540
17.254,1478.4
17.305,1540
17.356,1540
17.408,1510.38
17.459,1540
17.51,1478.4
17.561,1540
17.612,1540
17.664,1510.38
17.715,1540
17.766,1540
17.817,1540
17.868,1540
17.92,1510.38
17.971,1540
18.022,1540
18.073,1478.4
18.124,1540
18.176,1510.38
18.227,1540
18.278,1540
18.329,1540
18.38,1540
18.432,1510.38
18.483,1478.4
18.534,1540
18.585,1540
18.636,1540
18.688,1510.38
18.739,1540
18.79,1540
18.841,1540
18.892,1540
18.944,1510.38
18.995,1540
19.046,1540
19.097,1540
19.148,1540
19.2,1510.38
19.251,1478.4
19.302,1478.4
19.353,1540
19.404,1540
19.456,1510.38
19.507,1540
19.558,1540
19.609,1540
19.66,1540
19.712,1510.38
19.763,1540
19.814,1540
19.865,1540
19.916,1478.4
19.968,1510.38
20.019,1540
20.07,1663.2
20.121,1971.2
20.172,2217.59
20.224,2235.36
20.275,2279.19
20.326,2340.79
20.377,2340.79
20.428,2340.79
20.48,2295.78
20.531,2279.19
20.582,2279.19
20.633,2279.19
20.684,2279.19
20.736,2235.36
20.787,2279.19
20.838,2279.19
20.889,2279.19
20.94,2279.19
20.992,2235.36
21.043,2279.19
21.094,2340.79
21.145,2340.79
21.196,2340.79
21.248,2295.78
21.299,2340.79
21.35,2279.19
21.401,2279.19
21.452,2279.19
21.504,2235.36
21.555,2340.79
21.606,2340.79
21.657,2340.79
21.708,2340.79
21.76,2295.78
21.811,2340.79
21.862,2279.19
21.913,2279.19
21.964,2279.19
22.016,2295.78
22.067,2340.79
22.118,2340.79
22.169,2340.79
22.22,2279.19
22.272,2235.36
22.323,2279.19
22.374,2279.19
22.425,2279.19
22.476,2279.19
22.528,2295.78
22.579,2340.79
22.63,2340.79
22.681,2340.79
22.732,2340.79
22.784,2295.78
22.835,2340.79
22.886,2340.79
22.937,2340.79
22.988,2340.79
23.04,2295.78
23.091,2340.79
23.142,2340.79
23.193,2279.19
23.244,2279.19
23.296,2235.36
23.347,2279.19
23.398,2279.19
23.449,2279.19
23.5,2340.79
23.552,2295.78
23.603,2340.79
23.654,2340.79
23.705,2340.79
23.756,2340.79
23.808,2295.78
23.859,2340.79
23.91,2340.79
23.961,2340.79
24.012,2340.79
24.064,2295.78
24.115,2340.79
24.166,2340.79
24.217,2340.79
24.268,2340.79
24.32,2295.78
24.371,2340.79
24.422,2340.79
24.473,2340.79
24.524,2340.79
24.576,2295.78
24.627,2340.79
24.678,2340.79
24.729,2279.19
24.78,2279.19
24.832,2295.78
24.883,2340.79
24.934,2340.79
24.985,2340.79
25.036,2217.59
25.088,1812.46
25.139,1478.4
25.19,1293.6
25.241,1170.4
25.292,985.6
25.344,845.81
25.395,800.8
25.446,739.2
25.497,677.6
25.548,616
25.6,604.15
25.651,492.8
25.702,492.8
25.753,431.2
25.804,492.8
25.856,362.49
25.907,431.2
25.958,308
26.009,308
26.06,308
26.112,302.08
26.163,308
26.214,246.4
26.265,246.4
26.316,246.4
26.368,241.66
26.419,184.8
26.47,246.4
26.521,184.8
26.572,184.8
26.624,120.83
26.675,184.8
26.726,123.2
26.777,123.2
26.828,123.2
26.88,120.83
26.931,123.2
26.982,123.2
27.033,61.6
27.084,61.6
27.136,60.42
27.187,61.6
27.238,0
27.289,0
27.34,61.6
27.392,0
27.443,0
27.494,0
27.545,0
27.596,0
27.648,0
27.699,0
27.75,0
27.801,0
27.852,0
27.904,0
27.955,0
28.006,0
28.057,0
28.108,0
28.16,0
28.211,0
28.262,0
28.313,0
28.364,0
28.416,0
28.467,0
28.518,0
28.569,0
28.62,0
28.672,0
28.723,0
28.774,0
28.825,0
28.876,0
28.928,0
28.979,0
29.03,0
29.081,0
29.132,0
29.184,0
29.235,0
29.286,0
29.337,0
29.388,0
29.44,0
29.491,0
29.542,0
29.593,0
29.644,0
29.696,0
