vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
1.5,2.0,5,0.9523809552192688,4.78,7.1,0.0,0.09,5.3286999999999995,-6.20775,-7.11715,-127.53043454600262,0.17800000000000155,[0. 0.],[0. 0.],[5.08 6.22],[1.5 1.5]
1.5,2.25,0,0.8095238208770752,5.35,3.19,0.0,0.01,5.585411764705882,-7.319882352941177,-3.196588235294118,-109.60149570899316,0.23117647058823573,[0. 0.],[0. 0.],[2.06 4.72],[1.5 1.5]
1.5,2.25,1,0.695652186870575,5.08,3.91,0.0,0.0,5.49025,-7.1953125,-3.907,-117.76789441115741,0.21200000000000385,[0. 0.],[0. 0.],[4.97 3.28],[1.5 1.5]
1.5,2.25,2,0.5833333134651184,5.17,4.02,0.0,0.0,5.593499999999999,-7.3305,-4.015428571428571,-116.06969593836561,0.20742857142857218,[0. 0.],[0. 0.],[6.05 3.9 ],[1.5 1.5]
1.5,2.25,3,0.9545454382896423,4.84,7.17,0.0,0.13,5.400619047619047,-7.07795238095238,-7.15404761904762,-122.52804713917332,0.16723809523809463,[0. 0.],[0. 0.],[5.74 3.04],[1.5 1.5]
1.5,2.25,4,0.8260869383811951,5.06,4.46,0.0,0.09,5.506263157894737,-7.21642105263158,-4.505473684210526,-114.15347195691444,0.20294736842105415,[0. 0.],[0. 0.],[6.08 3.49],[1.5 1.5]
1.5,2.5,0,0.695652186870575,5.19,8.31,0.03,0.04,5.604312500000001,-8.161,-8.3236875,-116.62695734815499,0.16037499999999932,[0. 0.],[0. 0.],[1.79 5.53],[1.5 1.5]
1.5,2.5,1,0.6363636255264282,5.13,6.18,0.02,0.0,5.527214285714286,-8.04857142857143,-6.178571428571429,-110.39104701492417,0.17242857142857235,[0. 0.],[0. 0.],[6.47 3.32],[1.5 1.5]
1.5,2.5,2,0.3684210479259491,5.47,3.28,0.0,0.02,5.67,-8.256428571428572,-3.282571428571429,-99.88351783605911,0.2145714285714279,[0. 0.],[0. 0.],[4.4  3.81],[1.5 1.5]
1.5,2.5,3,0.3684210479259491,5.41,3.29,0.0,0.0,5.702142857142857,-8.302857142857144,-3.291571428571428,-102.35872554603888,0.21285714285713603,[0. 0.],[0. 0.],[3.58 1.43],[1.5 1.5]
1.5,2.5,4,0.6818181872367859,5.2,5.94,0.03,1.14,5.574933333333333,-8.1182,-6.599466666666667,-105.78456753002583,0.1596000000000001,[0. 0.],[0. 0.],[6.59 5.18],[1.5 1.5]
1.5,2.5,5,0.7727272510528564,4.95,4.6,0.03,0.0,5.375764705882354,-7.828117647058824,-4.599,-119.45417099941179,0.19788235294118006,[0. 0.],[0. 0.],[6.69 4.99],[1.5 1.5]
1.5,2.75,0,0.782608687877655,5.02,4.86,0.01,0.0,5.373777777777779,-8.60816666666667,-4.864222222222222,-108.67793956491664,0.18655555555555617,[0. 0.],[0. 0.],[4.38 6.47],[1.5 1.5]
1.5,2.75,1,0.4000000059604645,5.16,3.98,0.08,1.15,5.6955,-9.123124999999998,-4.607875,-116.02184059079377,0.19399999999999973,[0. 0.],[0. 0.],[3.55 5.02],[1.5 1.5]
1.5,2.75,3,0.9545454382896423,4.87,6.38,0.0,0.0,5.314809523809524,-8.51347619047619,-6.382904761904761,-120.68025425299535,0.1789523809523787,[0. 0.],[0. 0.],[3.94 6.64],[1.5 1.5]
1.5,2.75,4,0.8235294222831726,4.99,3.75,0.07,0.0,5.546928571428571,-8.884785714285714,-3.7505714285714284,-106.06921303165642,0.21442857142856983,[0. 0.],[0. 0.],[1.86 2.57],[1.5 1.5]
1.5,2.75,5,0.8181818127632141,4.85,11.13,0.0,0.19,5.373222222222222,-8.606833333333332,-11.028888888888888,-120.69047553826915,0.1650000000000023,[0. 0.],[0. 0.],[2.94 5.56],[1.5 1.5]
1.75,0.0,0,0.0,7.23,1.21,0.03,0.21,,,,,,[0. 0.],[0. 0.],[6.96 3.53],[1.5 1.5]
1.75,0.0,1,0.0,6.75,1.01,0.0,0.0,,,,,,[0. 0.],[0. 0.],[6.69 3.39],[1.5 1.5]
1.75,0.0,2,0.0,6.19,0.34,0.0,0.0,,,,,,[0. 0.],[0. 0.],[6.56 1.02],[1.5 1.5]
1.75,0.0,3,0.0,5.45,0.35,0.1,0.0,,,,,,[0. 0.],[0. 0.],[1.25 2.48],[1.5 1.5]
1.75,0.0,4,0.1666666716337204,4.75,5.48,0.01,0.01,5.34225,0.0,-5.4855,-103.87543273868576,0.19349999999999667,[0. 0.],[0. 0.],[3.4 4.9],[1.5 1.5]
1.75,0.0,5,0.0416666679084301,4.71,5.4,0.0,0.04,4.942,0.0,-5.4239999999999995,-163.30083373423835,0.2259999999999991,[0. 0.],[0. 0.],[6.06 3.16],[1.5 1.5]
1.75,0.25,0,0.125,4.77,6.28,0.03,0.0,4.883,-0.621,-6.2810000000000015,-160.01711551809893,0.2119999999999962,[0. 0.],[0. 0.],[3.33 5.84],[1.5 1.5]
1.75,0.25,1,0.0833333358168602,4.62,7.98,0.0,0.0,5.0355,-0.6399999999999999,-7.978,-175.75796340528726,0.21200000000000685,[0. 0.],[0. 0.],[6.57 5.17],[1.5 1.5]
1.75,0.25,2,0.0833333358168602,5.24,10.1,0.01,1.36,5.609,-0.7130000000000001,-10.277000000000001,-99.08758004479307,0.16099999999999426,[0. 0.],[0. 0.],[6.44 5.2 ],[1.5 1.5]
1.75,0.25,3,0.0,7.49,0.72,0.0,0.1,,,,,,[0. 0.],[0. 0.],[6.62 3.1 ],[1.5 1.5]
1.75,0.25,4,0.11764705926179886,5.05,2.93,0.0,0.0,5.6815,-0.722,-2.931,-95.38614239931707,0.23499999999999943,[0. 0.],[0. 0.],[2.08 2.12],[1.5 1.5]
1.75,0.25,5,0.06666667014360428,5.04,2.95,0.0,0.0,5.732,-0.7290000000000001,-2.95,-95.35670617589722,0.23200000000001353,[0. 0.],[0. 0.],[3.78 2.44],[1.5 1.5]
1.75,0.5,0,0.21739129722118378,5.04,4.63,0.01,0.0,5.477400000000001,-1.3921999999999999,-4.6293999999999995,-111.93730561582367,0.20840000000000317,[0. 0.],[0. 0.],[5.42 1.84],[1.5 1.5]
1.75,0.5,1,0.25,4.81,8.77,0.0,0.11,5.093333333333333,-1.295,-8.766166666666665,-163.6801272684201,0.1876666666666574,[0. 0.],[0. 0.],[2.02 3.04],[1.5 1.5]
1.75,0.5,2,0.1666666716337204,4.68,7.12,0.0,0.22,5.023,-1.2765,-7.141500000000001,-166.94514668137947,0.1910000000000096,[0. 0.],[0. 0.],[2.33 6.52],[1.5 1.5]
1.75,0.5,3,0.0,2.83,0.25,0.21,0.05,,,,,,[0. 0.],[0. 0.],[3.84 1.69],[1.5 1.5]
1.75,0.5,4,0.2083333283662796,5.0,6.66,0.02,0.03,5.425,-1.379,-6.6622,-145.305215460298,0.1848000000000008,[0. 0.],[0. 0.],[1.52 5.96],[1.5 1.5]
1.75,0.5,5,0.1666666716337204,5.12,3.65,0.0,0.0,5.8185,-1.47925,-3.6457500000000005,-92.60627525621504,0.19550000000000267,[0. 0.],[0. 0.],[4.77 1.37],[1.5 1.5]
